season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1976,1,Brazilian Grand Prix,1976-01-25,Lauda,Ferrari,1,2,40,Finished,1:45:16.78,9
1976,1,Brazilian Grand Prix,1976-01-25,Depailler,Tyrrell,2,9,40,Finished,+21.47,6
1976,1,Brazilian Grand Prix,1976-01-25,Pryce,Shadow,3,12,40,Finished,+23.84,4
1976,1,Brazilian Grand Prix,1976-01-25,Stuck,March,4,14,40,Finished,+1:28.17,3
1976,1,Brazilian Grand Prix,1976-01-25,Scheckter,Tyrrell,5,13,40,Finished,+1:56.46,2
1976,1,Brazilian Grand Prix,1976-01-25,Mass,McLaren,6,6,40,Finished,+1:58.27,1
1976,1,Brazilian Grand Prix,1976-01-25,Regazzoni,Ferrari,7,4,40,Finished,+2:15.24,0
1976,1,Brazilian Grand Prix,1976-01-25,Ickx,Wolf,8,19,39,+1 Lap,,0
1976,1,Brazilian Grand Prix,1976-01-25,Zorzi,Williams,9,17,39,+1 Lap,,0
1976,1,Brazilian Grand Prix,1976-01-25,Pace,Brabham-Alfa Romeo,10,10,39,+1 Lap,,0
1976,1,Brazilian Grand Prix,1976-01-25,Hoffmann,Fittipaldi,11,20,39,+1 Lap,,0
1976,1,Brazilian Grand Prix,1976-01-25,Reutemann,Brabham-Alfa Romeo,12,15,37,Out of fuel,,0
1976,1,Brazilian Grand Prix,1976-01-25,Fittipaldi,Fittipaldi,13,5,37,+3 Laps,,0
1976,1,Brazilian Grand Prix,1976-01-25,Lombardi,March,14,22,36,+4 Laps,,0
1976,1,Brazilian Grand Prix,1976-01-25,Jarier,Shadow,15,3,33,Accident,,0
1976,1,Brazilian Grand Prix,1976-01-25,Hunt,McLaren,16,1,32,Accident,,0
1976,1,Brazilian Grand Prix,1976-01-25,Brambilla,March,17,7,15,Oil leak,,0
1976,1,Brazilian Grand Prix,1976-01-25,Laffite,Ligier,18,11,14,Transmission,,0
