season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1974,1,Argentine Grand Prix,1974-01-13,Hulme,McLaren,1,10,53,Finished,1:41:02.01,9
1974,1,Argentine Grand Prix,1974-01-13,Lauda,Ferrari,2,8,53,Finished,+9.27,6
1974,1,Argentine Grand Prix,1974-01-13,Regazzoni,Ferrari,3,2,53,Finished,+20.41,4
1974,1,Argentine Grand Prix,1974-01-13,Hailwood,McLaren,4,9,53,Finished,+31.79,3
1974,1,Argentine Grand Prix,1974-01-13,Beltoise,BRM,5,14,53,Finished,+51.84,2
1974,1,Argentine Grand Prix,1974-01-13,Depailler,Tyrrell,6,15,53,Finished,+1:52.48,1
1974,1,Argentine Grand Prix,1974-01-13,Reutemann,Brabham,7,6,52,Out of fuel,,0
1974,1,Argentine Grand Prix,1974-01-13,Ganley,March,8,19,52,Out of fuel,,0
1974,1,Argentine Grand Prix,1974-01-13,Pescarolo,BRM,9,21,52,+1 Lap,,0
1974,1,Argentine Grand Prix,1974-01-13,Fittipaldi,McLaren,10,3,52,+1 Lap,,0
1974,1,Argentine Grand Prix,1974-01-13,Edwards,Lola,11,25,51,+2 Laps,,0
1974,1,Argentine Grand Prix,1974-01-13,Watson,Brabham,12,20,49,+4 Laps,,0
1974,1,Argentine Grand Prix,1974-01-13,Peterson,Team Lotus,13,1,48,+5 Laps,,0
1974,1,Argentine Grand Prix,1974-01-13,Hill,Lola,14,17,45,Engine,,0
1974,1,Argentine Grand Prix,1974-01-13,Ickx,Team Lotus,15,7,36,Clutch,,0
1974,1,Argentine Grand Prix,1974-01-13,Robarts,Brabham,16,22,36,Gearbox,,0
1974,1,Argentine Grand Prix,1974-01-13,Stuck,March,17,23,31,Clutch,,0
1974,1,Argentine Grand Prix,1974-01-13,Migault,BRM,18,24,31,Water leak,,0
1974,1,Argentine Grand Prix,1974-01-13,Scheckter,Tyrrell,19,12,25,Engine,,0
1974,1,Argentine Grand Prix,1974-01-13,Pace,Surtees,20,11,21,Suspension,,0
1974,1,Argentine Grand Prix,1974-01-13,Merzario,Iso Marlboro,21,13,19,Overheating,,0
1974,1,Argentine Grand Prix,1974-01-13,Hunt,March,22,5,11,Overheating,,0
1974,1,Argentine Grand Prix,1974-01-13,Mass,Surtees,23,18,10,Engine,,0
1974,1,Argentine Grand Prix,1974-01-13,Revson,Shadow,24,4,1,Accident,,0
1974,1,Argentine Grand Prix,1974-01-13,Jarier,Shadow,25,16,0,Accident,,0
1974,2,Brazilian Grand Prix,1974-01-27,Fittipaldi,McLaren,1,1,32,Finished,1:24:37.06,9
1974,2,Brazilian Grand Prix,1974-01-27,Regazzoni,Ferrari,2,8,32,Finished,+13.57,6
1974,2,Brazilian Grand Prix,1974-01-27,Ickx,Team Lotus,3,5,31,+1 Lap,,4
1974,2,Brazilian Grand Prix,1974-01-27,Pace,Surtees,4,12,31,+1 Lap,,3
1974,2,Brazilian Grand Prix,1974-01-27,Hailwood,McLaren,5,7,31,+1 Lap,,2
1974,2,Brazilian Grand Prix,1974-01-27,Peterson,Team Lotus,6,4,31,+1 Lap,,1
1974,2,Brazilian Grand Prix,1974-01-27,Reutemann,Brabham,7,2,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Depailler,Tyrrell,8,16,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Hunt,March,9,18,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Beltoise,BRM,10,17,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Hill,Lola,11,21,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Hulme,McLaren,12,11,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Scheckter,Tyrrell,13,14,31,+1 Lap,,0
1974,2,Brazilian Grand Prix,1974-01-27,Pescarolo,BRM,14,22,30,+2 Laps,,0
1974,2,Brazilian Grand Prix,1974-01-27,Robarts,Brabham,15,24,30,+2 Laps,,0
1974,2,Brazilian Grand Prix,1974-01-27,Migault,BRM,16,23,30,+2 Laps,,0
1974,2,Brazilian Grand Prix,1974-01-27,Mass,Surtees,17,10,30,+2 Laps,,0
1974,2,Brazilian Grand Prix,1974-01-27,Watson,Brabham,18,15,27,Clutch,,0
1974,2,Brazilian Grand Prix,1974-01-27,Stuck,March,19,13,24,Transmission,,0
1974,2,Brazilian Grand Prix,1974-01-27,Jarier,Shadow,20,19,21,Brakes,,0
1974,2,Brazilian Grand Prix,1974-01-27,Merzario,Iso Marlboro,21,9,20,Throttle,,0
1974,2,Brazilian Grand Prix,1974-01-27,Revson,Shadow,22,6,10,Overheating,,0
1974,2,Brazilian Grand Prix,1974-01-27,Ganley,March,23,20,8,Ignition,,0
1974,2,Brazilian Grand Prix,1974-01-27,Lauda,Ferrari,24,25,2,Engine,,0
1974,2,Brazilian Grand Prix,1974-01-27,Edwards,Lola,25,3,2,Chassis,,0
1974,3,South African Grand Prix,1974-03-30,Reutemann,Brabham,1,4,78,Finished,1:42:40.96,9
1974,3,South African Grand Prix,1974-03-30,Beltoise,BRM,2,11,78,Finished,+33.94,6
1974,3,South African Grand Prix,1974-03-30,Hailwood,McLaren,3,12,78,Finished,+42.16,4
1974,3,South African Grand Prix,1974-03-30,Depailler,Tyrrell,4,15,78,Finished,+44.19,3
1974,3,South African Grand Prix,1974-03-30,Stuck,March,5,7,78,Finished,+46.23,2
1974,3,South African Grand Prix,1974-03-30,Merzario,Iso Marlboro,6,3,78,Finished,+56.04,1
1974,3,South African Grand Prix,1974-03-30,Fittipaldi,McLaren,7,5,78,Finished,+1:08.39,0
1974,3,South African Grand Prix,1974-03-30,Scheckter,Tyrrell,8,8,78,Finished,+1:10.54,0
1974,3,South African Grand Prix,1974-03-30,Hulme,McLaren,9,9,77,+1 Lap,,0
1974,3,South African Grand Prix,1974-03-30,Brambilla,March,10,19,77,+1 Lap,,0
1974,3,South African Grand Prix,1974-03-30,Pace,Surtees,11,2,77,+1 Lap,,0
1974,3,South African Grand Prix,1974-03-30,Hill,Lola,12,18,77,+1 Lap,,0
1974,3,South African Grand Prix,1974-03-30,Scheckter,Team Lotus,13,22,76,+2 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Keizan,Tyrrell,14,24,76,+2 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Migault,BRM,15,25,75,+3 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Lauda,Ferrari,16,1,74,Ignition,,0
1974,3,South African Grand Prix,1974-03-30,Robarts,Brabham,17,23,74,+4 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Pescarolo,BRM,18,21,72,+6 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Charlton,McLaren,19,20,71,+7 Laps,,0
1974,3,South African Grand Prix,1974-03-30,Regazzoni,Ferrari,20,6,65,Oil pressure,,0
1974,3,South African Grand Prix,1974-03-30,Watson,Brabham,21,13,54,Fuel system,,0
1974,3,South African Grand Prix,1974-03-30,Ickx,Team Lotus,22,10,31,Brakes,,0
1974,3,South African Grand Prix,1974-03-30,Hunt,Hesketh,23,14,13,Transmission,,0
1974,3,South African Grand Prix,1974-03-30,Mass,Surtees,24,17,11,Suspension,,0
1974,3,South African Grand Prix,1974-03-30,Driver,Team Lotus,25,26,6,Clutch,,0
1974,3,South African Grand Prix,1974-03-30,Peterson,Team Lotus,26,16,2,Collision,,0
1974,3,South African Grand Prix,1974-03-30,Belsø,Iso Marlboro,27,27,0,Clutch,,0
1974,4,Spanish Grand Prix,1974-04-28,Lauda,Ferrari,1,1,84,Finished,2:00:29.56,9
1974,4,Spanish Grand Prix,1974-04-28,Regazzoni,Ferrari,2,3,84,Finished,+35.61,6
1974,4,Spanish Grand Prix,1974-04-28,Fittipaldi,McLaren,3,4,83,+1 Lap,,4
1974,4,Spanish Grand Prix,1974-04-28,Stuck,March,4,13,82,+2 Laps,,3
1974,4,Spanish Grand Prix,1974-04-28,Scheckter,Tyrrell,5,9,82,+2 Laps,,2
1974,4,Spanish Grand Prix,1974-04-28,Hulme,McLaren,6,8,82,+2 Laps,,1
1974,4,Spanish Grand Prix,1974-04-28,Redman,Shadow,7,21,81,+3 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Depailler,Tyrrell,8,16,81,+3 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Hailwood,McLaren,9,17,81,+3 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Hunt,Hesketh,10,10,81,+3 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Watson,Brabham,11,15,80,+4 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Pescarolo,BRM,12,20,80,+4 Laps,,0
1974,4,Spanish Grand Prix,1974-04-28,Pace,Surtees,13,14,78,+6 Laps,,0
