season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1977,1,Argentine Grand Prix,1977-01-09,Scheckter,Wolf,1,11,53,Finished,1:40:11.19,9
1977,1,Argentine Grand Prix,1977-01-09,Pace,Brabham,2,6,53,Finished,+43.24,6
1977,1,Argentine Grand Prix,1977-01-09,Reutemann,Ferrari,3,7,53,Finished,+46.02,4
1977,1,Argentine Grand Prix,1977-01-09,Fittipaldi,Fittipaldi,4,16,53,Finished,+55.48,3
1977,1,Argentine Grand Prix,1977-01-09,Andretti,Team Lotus,5,8,51,Wheel bearing,,2
1977,1,Argentine Grand Prix,1977-01-09,Regazzoni,Ensign,6,12,51,+2 Laps,,1
1977,1,Argentine Grand Prix,1977-01-09,Brambilla,Surtees,7,13,48,Out of fuel,,0
1977,1,Argentine Grand Prix,1977-01-09,Scheckter,March,8,17,45,Electrical,,0
1977,1,Argentine Grand Prix,1977-01-09,Pryce,Shadow,9,9,45,Not classified,,0
1977,1,Argentine Grand Prix,1977-01-09,Watson,Brabham,10,2,41,Suspension,,0
1977,1,Argentine Grand Prix,1977-01-09,Ribeiro,March,11,20,39,Transmission,,0
1977,1,Argentine Grand Prix,1977-01-09,Laffite,Ligier,12,15,37,Not classified,,0
1977,1,Argentine Grand Prix,1977-01-09,Depailler,Tyrrell,13,3,32,Overheating,,0
1977,1,Argentine Grand Prix,1977-01-09,Hunt,McLaren,14,1,31,Suspension,,0
1977,1,Argentine Grand Prix,1977-01-09,Mass,McLaren,15,5,28,Spun off,,0
1977,1,Argentine Grand Prix,1977-01-09,Peterson,Tyrrell,16,14,28,Spun off,,0
1977,1,Argentine Grand Prix,1977-01-09,Hoffmann,Fittipaldi,17,19,22,Engine,,0
1977,1,Argentine Grand Prix,1977-01-09,Lauda,Ferrari,18,4,20,Fuel system,,0
1977,1,Argentine Grand Prix,1977-01-09,Binder,Surtees,19,18,18,Accident,,0
1977,1,Argentine Grand Prix,1977-01-09,Zorzi,Shadow,20,21,2,Gearbox,,0
1977,1,Argentine Grand Prix,1977-01-09,Nilsson,Team Lotus,21,10,0,Withdrew,,0
1977,2,Brazilian Grand Prix,1977-01-23,Reutemann,Ferrari,1,2,40,Finished,1:45:07.72,9
1977,2,Brazilian Grand Prix,1977-01-23,Hunt,McLaren,2,1,40,Finished,+10.71,6
1977,2,Brazilian Grand Prix,1977-01-23,Lauda,Ferrari,3,13,40,Finished,+1:47.51,4
1977,2,Brazilian Grand Prix,1977-01-23,Fittipaldi,Fittipaldi,4,16,39,+1 Lap,,3
1977,2,Brazilian Grand Prix,1977-01-23,Nilsson,Team Lotus,5,10,39,+1 Lap,,2
1977,2,Brazilian Grand Prix,1977-01-23,Zorzi,Shadow,6,18,39,+1 Lap,,1
1977,2,Brazilian Grand Prix,1977-01-23,Hoffmann,Fittipaldi,7,19,38,+2 Laps,,0
1977,2,Brazilian Grand Prix,1977-01-23,Pace,Brabham,8,12,33,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Pryce,Shadow,9,5,33,Engine,,0
1977,2,Brazilian Grand Prix,1977-01-23,Binder,Surtees,10,20,32,Suspension,,0
1977,2,Brazilian Grand Prix,1977-01-23,Watson,Brabham,11,7,30,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Laffite,Ligier,12,14,26,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Depailler,Tyrrell,13,6,23,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Andretti,Team Lotus,14,3,19,Ignition,,0
1977,2,Brazilian Grand Prix,1977-01-23,Ribeiro,March,15,21,16,Engine,,0
1977,2,Brazilian Grand Prix,1977-01-23,Mass,McLaren,16,4,12,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Peterson,Tyrrell,17,8,12,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Regazzoni,Ensign,18,9,12,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Brambilla,Surtees,19,11,11,Accident,,0
1977,2,Brazilian Grand Prix,1977-01-23,Scheckter,Wolf,20,15,11,Engine,,0
1977,2,Brazilian Grand Prix,1977-01-23,Scheckter,March,21,17,1,Transmission,,0
1977,2,Brazilian Grand Prix,1977-01-23,Perkins,BRM,22,22,1,Overheating,,0
1977,3,South African Grand Prix,1977-03-05,Lauda,Ferrari,1,3,78,Finished,1:42:21.6,9
1977,3,South African Grand Prix,1977-03-05,Scheckter,Wolf,2,5,78,Finished,+5.2,6
1977,3,South African Grand Prix,1977-03-05,Depailler,Tyrrell,3,4,78,Finished,+5.7,4
1977,3,South African Grand Prix,1977-03-05,Hunt,McLaren,4,1,78,Finished,+9.5,3
1977,3,South African Grand Prix,1977-03-05,Mass,McLaren,5,12,78,Finished,+19.9,2
1977,3,South African Grand Prix,1977-03-05,Watson,Brabham,6,11,78,Finished,+20.2,1
1977,3,South African Grand Prix,1977-03-05,Brambilla,Surtees,7,14,78,Finished,+23.6,0
