season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1969,1,South African Grand Prix,1969-03-01,Stewart,Matra-Ford,1,4,80,Finished,1:50:39.1,9
1969,1,South African Grand Prix,1969-03-01,Hill,Lotus-Ford,2,7,80,Finished,+18.8,6
1969,1,South African Grand Prix,1969-03-01,Hulme,McLaren-Ford,3,3,80,Finished,+31.8,4
1969,1,South African Grand Prix,1969-03-01,Siffert,Lotus-Ford,4,12,80,Finished,+49.2,3
1969,1,South African Grand Prix,1969-03-01,McLaren,McLaren-Ford,5,8,79,+1 Lap,,2
1969,1,South African Grand Prix,1969-03-01,Beltoise,Matra-Ford,6,11,78,+2 Laps,,1
1969,1,South African Grand Prix,1969-03-01,Oliver,BRM,7,14,77,+3 Laps,,0
1969,1,South African Grand Prix,1969-03-01,Tingle,Brabham-Repco,8,17,73,+7 Laps,,0
1969,1,South African Grand Prix,1969-03-01,de Klerk,Brabham-Repco,9,16,67,Not classified,,0
1969,1,South African Grand Prix,1969-03-01,Rindt,Lotus-Ford,10,2,44,Fuel pump,,0
1969,1,South African Grand Prix,1969-03-01,Surtees,BRM,11,18,40,Engine,,0
1969,1,South African Grand Prix,1969-03-01,Rodríguez,BRM,12,15,38,Water leak,,0
1969,1,South African Grand Prix,1969-03-01,Amon,Ferrari,13,5,34,Engine,,0
1969,1,South African Grand Prix,1969-03-01,Brabham,Brabham-Ford,14,1,32,Handling,,0
1969,1,South African Grand Prix,1969-03-01,Andretti,Lotus-Ford,15,6,31,Gearbox,,0
1969,1,South African Grand Prix,1969-03-01,Love,Lotus-Ford,16,10,31,Ignition,,0
1969,1,South African Grand Prix,1969-03-01,Ickx,Brabham-Ford,17,13,20,Ignition,,0
1969,1,South African Grand Prix,1969-03-01,van Rooyen,McLaren-Ford,18,9,12,Brakes,,0
1969,2,Spanish Grand Prix,1969-05-04,Stewart,Matra-Ford,1,4,90,Finished,2:16:54.0,9
1969,2,Spanish Grand Prix,1969-05-04,McLaren,McLaren-Ford,2,13,88,+2 Laps,,6
1969,2,Spanish Grand Prix,1969-05-04,Beltoise,Matra-Ford,3,12,87,+3 Laps,,4
1969,2,Spanish Grand Prix,1969-05-04,Hulme,McLaren-Ford,4,8,87,+3 Laps,,3
1969,2,Spanish Grand Prix,1969-05-04,Surtees,BRM,5,9,84,+6 Laps,,2
1969,2,Spanish Grand Prix,1969-05-04,Ickx,Brabham-Ford,6,7,83,+7 Laps,,1
1969,2,Spanish Grand Prix,1969-05-04,Rodríguez,BRM,7,14,73,Engine,,0
1969,2,Spanish Grand Prix,1969-05-04,Amon,Ferrari,8,2,56,Engine,,0
1969,2,Spanish Grand Prix,1969-05-04,Brabham,Brabham-Ford,9,5,51,Engine,,0
1969,2,Spanish Grand Prix,1969-05-04,Siffert,Lotus-Ford,10,6,30,Oil leak,,0
1969,2,Spanish Grand Prix,1969-05-04,Rindt,Lotus-Ford,11,1,19,Accident,,0
1969,2,Spanish Grand Prix,1969-05-04,Courage,Brabham-Ford,12,11,18,Engine,,0
1969,2,Spanish Grand Prix,1969-05-04,Hill,Lotus-Ford,13,3,8,Accident,,0
1969,2,Spanish Grand Prix,1969-05-04,Oliver,BRM,14,10,1,Oil pipe,,0
1969,3,Monaco Grand Prix,1969-05-18,Hill,Lotus-Ford,1,4,80,Finished,1:56:59.4,9
1969,3,Monaco Grand Prix,1969-05-18,Courage,Brabham-Ford,2,9,80,Finished,+17.3,6
1969,3,Monaco Grand Prix,1969-05-18,Siffert,Lotus-Ford,3,5,80,Finished,+34.6,4
1969,3,Monaco Grand Prix,1969-05-18,Attwood,Lotus-Ford,4,10,80,Finished,+52.9,3
1969,3,Monaco Grand Prix,1969-05-18,McLaren,McLaren-Ford,5,11,79,+1 Lap,,2
1969,3,Monaco Grand Prix,1969-05-18,Hulme,McLaren-Ford,6,12,78,+2 Laps,,1
1969,3,Monaco Grand Prix,1969-05-18,Elford,Cooper-Maserati,7,16,74,+6 Laps,,0
1969,3,Monaco Grand Prix,1969-05-18,Ickx,Brabham-Ford,8,7,48,Suspension,,0
1969,3,Monaco Grand Prix,1969-05-18,Stewart,Matra-Ford,9,1,22,Halfshaft,,0
1969,3,Monaco Grand Prix,1969-05-18,Beltoise,Matra-Ford,10,3,20,Halfshaft,,0
1969,3,Monaco Grand Prix,1969-05-18,Amon,Ferrari,11,2,16,Differential,,0
1969,3,Monaco Grand Prix,1969-05-18,Rodríguez,BRM,12,14,15,Engine,,0
1969,3,Monaco Grand Prix,1969-05-18,Moser,Brabham-Ford,13,15,15,Halfshaft,,0
1969,3,Monaco Grand Prix,1969-05-18,Surtees,BRM,14,6,9,Gearbox,,0
1969,3,Monaco Grand Prix,1969-05-18,Brabham,Brabham-Ford,15,8,9,Accident,,0
1969,3,Monaco Grand Prix,1969-05-18,Oliver,BRM,16,13,0,Accident,,0
1969,4,Dutch Grand Prix,1969-06-21,Stewart,Matra-Ford,1,2,90,Finished,2:06:42.08,9
1969,4,Dutch Grand Prix,1969-06-21,Siffert,Lotus-Ford,2,10,90,Finished,+24.52,6
1969,4,Dutch Grand Prix,1969-06-21,Amon,Ferrari,3,4,90,Finished,+30.51,4
1969,4,Dutch Grand Prix,1969-06-21,Hulme,McLaren-Ford,4,7,90,Finished,+37.16,3
1969,4,Dutch Grand Prix,1969-06-21,Ickx,Brabham-Ford,5,5,90,Finished,+37.67,2
1969,4,Dutch Grand Prix,1969-06-21,Brabham,Brabham-Ford,6,8,90,Finished,+1:10.81,1
1969,4,Dutch Grand Prix,1969-06-21,Hill,Lotus-Ford,7,3,88,+2 Laps,,0
1969,4,Dutch Grand Prix,1969-06-21,Beltoise,McLaren-Ford,8,11,87,+3 Laps,,0
1969,4,Dutch Grand Prix,1969-06-21,Surtees,BRM,9,12,87,+3 Laps,,0
