season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2022,1,Bahrain Grand Prix,2022-03-20,Leclerc,Ferrari,1,1,57,Finished,1:37:33.584,26
2022,1,Bahrain Grand Prix,2022-03-20,Sainz,Ferrari,2,3,57,Finished,+5.598,18
2022,1,Bahrain Grand Prix,2022-03-20,Hamilton,Mercedes,3,5,57,Finished,+9.675,15
2022,1,Bahrain Grand Prix,2022-03-20,Russell,Mercedes,4,9,57,Finished,+11.211,12
2022,1,Bahrain Grand Prix,2022-03-20,Magnussen,Haas F1 Team,5,7,57,Finished,+14.754,10
2022,1,Bahrain Grand Prix,2022-03-20,Bottas,Alfa Romeo,6,6,57,Finished,+16.119,8
2022,1,Bahrain Grand Prix,2022-03-20,Ocon,Alpine F1 Team,7,11,57,Finished,+19.423,6
2022,1,Bahrain Grand Prix,2022-03-20,Tsunoda,AlphaTauri,8,16,57,Finished,+20.386,4
2022,1,Bahrain Grand Prix,2022-03-20,Alonso,Alpine F1 Team,9,8,57,Finished,+22.390,2
2022,1,Bahrain Grand Prix,2022-03-20,Zhou,Alfa Romeo,10,15,57,Finished,+23.064,1
2022,1,Bahrain Grand Prix,2022-03-20,Schumacher,Haas F1 Team,11,12,57,Finished,+32.574,0
2022,1,Bahrain Grand Prix,2022-03-20,Stroll,Aston Martin,12,19,57,Finished,+45.873,0
2022,1,Bahrain Grand Prix,2022-03-20,Albon,Williams,13,14,57,Finished,+53.932,0
2022,1,Bahrain Grand Prix,2022-03-20,Ricciardo,McLaren,14,18,57,Finished,+54.975,0
2022,1,Bahrain Grand Prix,2022-03-20,Norris,McLaren,15,13,57,Finished,+56.335,0
2022,1,Bahrain Grand Prix,2022-03-20,Latifi,Williams,16,20,57,Finished,+1:01.795,0
2022,1,Bahrain Grand Prix,2022-03-20,Hülkenberg,Aston Martin,17,17,57,Finished,+1:03.829,0
2022,1,Bahrain Grand Prix,2022-03-20,Pérez,Red Bull,18,4,56,Fuel pressure,,0
2022,1,Bahrain Grand Prix,2022-03-20,Verstappen,Red Bull,19,2,54,Fuel pressure,,0
2022,1,Bahrain Grand Prix,2022-03-20,Gasly,AlphaTauri,20,10,44,Power Unit,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Verstappen,Red Bull,1,4,50,Finished,1:24:19.293,25
2022,2,Saudi Arabian Grand Prix,2022-03-27,Leclerc,Ferrari,2,2,50,Finished,+0.549,19
2022,2,Saudi Arabian Grand Prix,2022-03-27,Sainz,Ferrari,3,3,50,Finished,+8.097,15
2022,2,Saudi Arabian Grand Prix,2022-03-27,Pérez,Red Bull,4,1,50,Finished,+10.800,12
2022,2,Saudi Arabian Grand Prix,2022-03-27,Russell,Mercedes,5,6,50,Finished,+32.732,10
2022,2,Saudi Arabian Grand Prix,2022-03-27,Ocon,Alpine F1 Team,6,5,50,Finished,+56.017,8
2022,2,Saudi Arabian Grand Prix,2022-03-27,Norris,McLaren,7,11,50,Finished,+56.124,6
2022,2,Saudi Arabian Grand Prix,2022-03-27,Gasly,AlphaTauri,8,9,50,Finished,+1:02.946,4
2022,2,Saudi Arabian Grand Prix,2022-03-27,Magnussen,Haas F1 Team,9,10,50,Finished,+1:04.308,2
2022,2,Saudi Arabian Grand Prix,2022-03-27,Hamilton,Mercedes,10,15,50,Finished,+1:13.948,1
2022,2,Saudi Arabian Grand Prix,2022-03-27,Zhou,Alfa Romeo,11,12,50,Finished,+1:22.215,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Hülkenberg,Aston Martin,12,17,50,Finished,+1:31.742,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Stroll,Aston Martin,13,13,49,+1 Lap,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Albon,Williams,14,16,47,Collision damage,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Bottas,Alfa Romeo,15,8,36,Cooling system,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Alonso,Alpine F1 Team,16,7,35,Water pump,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Ricciardo,McLaren,17,14,35,Gearbox,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Latifi,Williams,18,18,14,Accident,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Tsunoda,AlphaTauri,19,19,0,Power Unit,,0
2022,2,Saudi Arabian Grand Prix,2022-03-27,Schumacher,Haas F1 Team,20,0,0,Withdrew,,0
2022,3,Australian Grand Prix,2022-04-10,Leclerc,Ferrari,1,1,58,Finished,1:27:46.548,26
2022,3,Australian Grand Prix,2022-04-10,Pérez,Red Bull,2,3,58,Finished,+20.524,18
2022,3,Australian Grand Prix,2022-04-10,Russell,Mercedes,3,6,58,Finished,+25.593,15
2022,3,Australian Grand Prix,2022-04-10,Hamilton,Mercedes,4,5,58,Finished,+28.543,12
2022,3,Australian Grand Prix,2022-04-10,Norris,McLaren,5,4,58,Finished,+53.303,10
2022,3,Australian Grand Prix,2022-04-10,Ricciardo,McLaren,6,7,58,Finished,+53.737,8
2022,3,Australian Grand Prix,2022-04-10,Ocon,Alpine F1 Team,7,8,58,Finished,+1:01.683,6
2022,3,Australian Grand Prix,2022-04-10,Bottas,Alfa Romeo,8,12,58,Finished,+1:08.439,4
2022,3,Australian Grand Prix,2022-04-10,Gasly,AlphaTauri,9,11,58,Finished,+1:16.221,2
2022,3,Australian Grand Prix,2022-04-10,Albon,Williams,10,20,58,Finished,+1:19.382,1
2022,3,Australian Grand Prix,2022-04-10,Zhou,Alfa Romeo,11,14,58,Finished,+1:21.695,0
2022,3,Australian Grand Prix,2022-04-10,Stroll,Aston Martin,12,19,58,Finished,+1:28.598,0
2022,3,Australian Grand Prix,2022-04-10,Schumacher,Haas F1 Team,13,15,57,+1 Lap,,0
2022,3,Australian Grand Prix,2022-04-10,Magnussen,Haas F1 Team,14,16,57,+1 Lap,,0
2022,3,Australian Grand Prix,2022-04-10,Tsunoda,AlphaTauri,15,13,57,+1 Lap,,0
2022,3,Australian Grand Prix,2022-04-10,Latifi,Williams,16,18,57,+1 Lap,,0
2022,3,Australian Grand Prix,2022-04-10,Alonso,Alpine F1 Team,17,10,57,+1 Lap,,0
2022,3,Australian Grand Prix,2022-04-10,Verstappen,Red Bull,18,2,38,Fuel leak,,0
2022,3,Australian Grand Prix,2022-04-10,Vettel,Aston Martin,19,17,22,Accident,,0
2022,3,Australian Grand Prix,2022-04-10,Sainz,Ferrari,20,9,1,Spun off,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Verstappen,Red Bull,1,1,63,Finished,1:32:07.986,26
2022,4,Emilia Romagna Grand Prix,2022-04-24,Pérez,Red Bull,2,3,63,Finished,+16.527,18
2022,4,Emilia Romagna Grand Prix,2022-04-24,Norris,McLaren,3,5,63,Finished,+34.834,15
2022,4,Emilia Romagna Grand Prix,2022-04-24,Russell,Mercedes,4,11,63,Finished,+42.506,12
2022,4,Emilia Romagna Grand Prix,2022-04-24,Bottas,Alfa Romeo,5,7,63,Finished,+43.181,10
2022,4,Emilia Romagna Grand Prix,2022-04-24,Leclerc,Ferrari,6,2,63,Finished,+56.072,8
2022,4,Emilia Romagna Grand Prix,2022-04-24,Tsunoda,AlphaTauri,7,12,63,Finished,+1:01.110,6
2022,4,Emilia Romagna Grand Prix,2022-04-24,Vettel,Aston Martin,8,13,63,Finished,+1:10.892,4
2022,4,Emilia Romagna Grand Prix,2022-04-24,Magnussen,Haas F1 Team,9,8,63,Finished,+1:15.260,2
2022,4,Emilia Romagna Grand Prix,2022-04-24,Stroll,Aston Martin,10,15,62,+1 Lap,,1
2022,4,Emilia Romagna Grand Prix,2022-04-24,Albon,Williams,11,18,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Gasly,AlphaTauri,12,17,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Hamilton,Mercedes,13,14,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Ocon,Alpine F1 Team,14,16,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Zhou,Alfa Romeo,15,0,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Latifi,Williams,16,19,62,+1 Lap,,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Schumacher,Haas F1 Team,17,10,62,+1 Lap,,0
