season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1973,1,Argentine Grand Prix,1973-01-28,Fittipaldi,Team Lotus,1,2,96,Finished,1:56:18.22,9
1973,1,Argentine Grand Prix,1973-01-28,Cevert,Tyrrell,2,6,96,Finished,+4.69,6
1973,1,Argentine Grand Prix,1973-01-28,Stewart,Tyrrell,3,4,96,Finished,+33.19,4
1973,1,Argentine Grand Prix,1973-01-28,Ickx,Ferrari,4,3,96,Finished,+42.57,3
1973,1,Argentine Grand Prix,1973-01-28,Hulme,McLaren,5,8,95,+1 Lap,,2
1973,1,Argentine Grand Prix,1973-01-28,Fittipaldi,Brabham,6,13,95,+1 Lap,,1
1973,1,Argentine Grand Prix,1973-01-28,Regazzoni,BRM,7,1,93,+3 Laps,,0
1973,1,Argentine Grand Prix,1973-01-28,Revson,McLaren,8,11,92,+4 Laps,,0
1973,1,Argentine Grand Prix,1973-01-28,Merzario,Ferrari,9,14,92,+4 Laps,,0
1973,1,Argentine Grand Prix,1973-01-28,Beuttler,March,10,18,90,Suspension,,0
1973,1,Argentine Grand Prix,1973-01-28,Jarier,March,11,17,84,Radiator,,0
1973,1,Argentine Grand Prix,1973-01-28,Beltoise,BRM,12,7,79,Engine,,0
1973,1,Argentine Grand Prix,1973-01-28,Ganley,Iso Marlboro,13,19,79,Not classified,,0
1973,1,Argentine Grand Prix,1973-01-28,Peterson,Team Lotus,14,5,67,Oil pressure,,0
1973,1,Argentine Grand Prix,1973-01-28,Lauda,BRM,15,13,66,Oil pressure,,0
1973,1,Argentine Grand Prix,1973-01-28,Reutemann,Brabham,16,9,16,Gearbox,,0
1973,1,Argentine Grand Prix,1973-01-28,Hailwood,Surtees,17,10,10,Halfshaft,,0
1973,1,Argentine Grand Prix,1973-01-28,Pace,Surtees,18,15,10,Suspension,,0
1973,1,Argentine Grand Prix,1973-01-28,Galli,Iso Marlboro,19,16,0,Engine,,0
1973,2,Brazilian Grand Prix,1973-02-11,Fittipaldi,Team Lotus,1,2,40,Finished,1:43:55.6,9
1973,2,Brazilian Grand Prix,1973-02-11,Stewart,Tyrrell,2,8,40,Finished,+13.5,6
1973,2,Brazilian Grand Prix,1973-02-11,Hulme,McLaren,3,5,40,Finished,+1:46.4,4
1973,2,Brazilian Grand Prix,1973-02-11,Merzario,Ferrari,4,17,39,+1 Lap,,3
1973,2,Brazilian Grand Prix,1973-02-11,Ickx,Ferrari,5,3,39,+1 Lap,,2
1973,2,Brazilian Grand Prix,1973-02-11,Regazzoni,BRM,6,4,39,+1 Lap,,1
1973,2,Brazilian Grand Prix,1973-02-11,Ganley,Iso Marlboro,7,14,39,+1 Lap,,0
1973,2,Brazilian Grand Prix,1973-02-11,Lauda,BRM,8,13,38,+2 Laps,,0
1973,2,Brazilian Grand Prix,1973-02-11,Galli,Iso Marlboro,9,18,38,+2 Laps,,0
1973,2,Brazilian Grand Prix,1973-02-11,Cevert,Tyrrell,10,9,38,+2 Laps,,0
1973,2,Brazilian Grand Prix,1973-02-11,Reutemann,Brabham,11,7,38,+2 Laps,,0
1973,2,Brazilian Grand Prix,1973-02-11,Bueno,Surtees,12,20,36,+4 Laps,,0
1973,2,Brazilian Grand Prix,1973-02-11,Beltoise,BRM,13,10,23,Electrical,,0
1973,2,Brazilian Grand Prix,1973-02-11,Beuttler,March,14,19,18,Overheating,,0
1973,2,Brazilian Grand Prix,1973-02-11,Pace,Surtees,15,6,9,Suspension,,0
1973,2,Brazilian Grand Prix,1973-02-11,Hailwood,Surtees,16,14,6,Gearbox,,0
1973,2,Brazilian Grand Prix,1973-02-11,Jarier,March,17,15,6,Gearbox,,0
1973,2,Brazilian Grand Prix,1973-02-11,Peterson,Team Lotus,18,1,5,Wheel,,0
1973,2,Brazilian Grand Prix,1973-02-11,Fittipaldi,Brabham,19,11,5,Overheating,,0
1973,2,Brazilian Grand Prix,1973-02-11,Revson,McLaren,20,12,3,Gearbox,,0
1973,3,South African Grand Prix,1973-03-03,Stewart,Tyrrell,1,16,79,Finished,1:43:11.07,9
1973,3,South African Grand Prix,1973-03-03,Revson,McLaren,2,6,79,Finished,+24.55,6
1973,3,South African Grand Prix,1973-03-03,Fittipaldi,Team Lotus,3,2,79,Finished,+25.06,4
1973,3,South African Grand Prix,1973-03-03,Merzario,Ferrari,4,15,78,+1 Lap,,3
1973,3,South African Grand Prix,1973-03-03,Hulme,McLaren,5,1,77,+2 Laps,,2
1973,3,South African Grand Prix,1973-03-03,Follmer,Shadow,6,21,77,+2 Laps,,1
1973,3,South African Grand Prix,1973-03-03,Reutemann,Brabham,7,8,77,+2 Laps,,0
1973,3,South African Grand Prix,1973-03-03,de Adamich,Surtees,8,20,77,+2 Laps,,0
1973,3,South African Grand Prix,1973-03-03,Scheckter,McLaren,9,3,75,Engine,,0
1973,3,South African Grand Prix,1973-03-03,Ganley,Iso Marlboro,10,19,73,+6 Laps,,0
1973,3,South African Grand Prix,1973-03-03,Peterson,Team Lotus,11,4,73,+6 Laps,,0
1973,3,South African Grand Prix,1973-03-03,Pace,Surtees,12,9,69,Accident,,0
1973,3,South African Grand Prix,1973-03-03,Keizan,Tyrrell,13,22,67,Not classified,,0
1973,3,South African Grand Prix,1973-03-03,Jarier,March,14,18,66,Not classified,,0
1973,3,South African Grand Prix,1973-03-03,Cevert,Tyrrell,15,25,66,Not classified,,0
1973,3,South African Grand Prix,1973-03-03,Beuttler,March,16,23,65,Not classified,,0
1973,3,South African Grand Prix,1973-03-03,Fittipaldi,Brabham,17,17,52,Gearbox,,0
1973,3,South African Grand Prix,1973-03-03,Pretorius,Iso Marlboro,18,24,35,Overheating,,0
1973,3,South African Grand Prix,1973-03-03,Lauda,BRM,19,10,26,Engine,,0
1973,3,South African Grand Prix,1973-03-03,Oliver,Shadow,20,14,14,Engine,,0
1973,3,South African Grand Prix,1973-03-03,Beltoise,BRM,21,7,4,Clutch,,0
1973,3,South African Grand Prix,1973-03-03,Charlton,Team Lotus,22,13,3,Accident,,0
1973,3,South African Grand Prix,1973-03-03,Regazzoni,BRM,23,5,2,Accident,,0
1973,3,South African Grand Prix,1973-03-03,Ickx,Ferrari,24,11,2,Accident,,0
1973,3,South African Grand Prix,1973-03-03,Hailwood,Surtees,25,12,2,Accident,,0
1973,4,Spanish Grand Prix,1973-04-29,Fittipaldi,Team Lotus,1,7,75,Finished,1:48:18.7,9
1973,4,Spanish Grand Prix,1973-04-29,Cevert,Tyrrell,2,3,75,Finished,+42.7,6
1973,4,Spanish Grand Prix,1973-04-29,Follmer,Shadow,3,14,75,Finished,+1:13.1,4
1973,4,Spanish Grand Prix,1973-04-29,Revson,McLaren,4,5,74,+1 Lap,,3
1973,4,Spanish Grand Prix,1973-04-29,Beltoise,BRM,5,10,74,+1 Lap,,2
1973,4,Spanish Grand Prix,1973-04-29,Hulme,McLaren,6,2,74,+1 Lap,,1
1973,4,Spanish Grand Prix,1973-04-29,Beuttler,March,7,19,74,+1 Lap,,0
1973,4,Spanish Grand Prix,1973-04-29,Pescarolo,March,8,18,73,+2 Laps,,0
1973,4,Spanish Grand Prix,1973-04-29,Regazzoni,BRM,9,8,69,+6 Laps,,0
1973,4,Spanish Grand Prix,1973-04-29,Fittipaldi,Brabham,10,12,69,+6 Laps,,0
1973,4,Spanish Grand Prix,1973-04-29,Galli,Iso Marlboro,11,20,69,+6 Laps,,0
1973,4,Spanish Grand Prix,1973-04-29,Ickx,Ferrari,12,6,69,+6 Laps,,0
1973,4,Spanish Grand Prix,1973-04-29,Reutemann,Brabham,13,15,66,Halfshaft,,0
1973,4,Spanish Grand Prix,1973-04-29,Ganley,Iso Marlboro,14,21,63,Out of fuel,,0
1973,4,Spanish Grand Prix,1973-04-29,Peterson,Team Lotus,15,1,56,Gearbox,,0
1973,4,Spanish Grand Prix,1973-04-29,Stewart,Tyrrell,16,4,47,Brakes,,0
1973,4,Spanish Grand Prix,1973-04-29,Lauda,BRM,17,11,28,Tyre,,0
1973,4,Spanish Grand Prix,1973-04-29,Hill,Shadow,18,22,27,Brakes,,0
1973,4,Spanish Grand Prix,1973-04-29,Hailwood,Surtees,19,9,25,Oil leak,,0
