season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2011,1,Australian Grand Prix,2011-03-27,Vettel,Red Bull,1,1,58,Finished,1:29:30.259,25
2011,1,Australian Grand Prix,2011-03-27,Hamilton,McLaren,2,2,58,Finished,+22.297,18
2011,1,Australian Grand Prix,2011-03-27,Petrov,Renault,3,6,58,Finished,+30.560,15
2011,1,Australian Grand Prix,2011-03-27,Alonso,Ferrari,4,5,58,Finished,+31.772,12
2011,1,Australian Grand Prix,2011-03-27,Webber,Red Bull,5,3,58,Finished,+38.171,10
2011,1,Australian Grand Prix,2011-03-27,Button,McLaren,6,4,58,Finished,+54.304,8
2011,1,Australian Grand Prix,2011-03-27,Massa,Ferrari,7,8,58,Finished,+1:25.186,6
2011,1,Australian Grand Prix,2011-03-27,Buemi,Toro Rosso,8,10,57,+1 Lap,,4
2011,1,Australian Grand Prix,2011-03-27,Sutil,Force India,9,16,57,+1 Lap,,2
2011,1,Australian Grand Prix,2011-03-27,di Resta,Force India,10,14,57,+1 Lap,,1
2011,1,Australian Grand Prix,2011-03-27,Alguersuari,Toro Rosso,11,12,57,+1 Lap,,0
2011,1,Australian Grand Prix,2011-03-27,Heidfeld,Renault,12,18,57,+1 Lap,,0
2011,1,Australian Grand Prix,2011-03-27,Trulli,Lotus,13,20,56,+2 Laps,,0
2011,1,Australian Grand Prix,2011-03-27,d'Ambrosio,Virgin,14,22,54,+4 Laps,,0
2011,1,Australian Grand Prix,2011-03-27,Glock,Virgin,15,21,49,+9 Laps,,0
2011,1,Australian Grand Prix,2011-03-27,Barrichello,Williams,16,17,48,Transmission,,0
2011,1,Australian Grand Prix,2011-03-27,Rosberg,Mercedes,17,7,22,Collision,,0
2011,1,Australian Grand Prix,2011-03-27,Kovalainen,Lotus,18,19,19,Water leak,,0
2011,1,Australian Grand Prix,2011-03-27,Schumacher,Mercedes,19,11,19,Collision,,0
2011,1,Australian Grand Prix,2011-03-27,Maldonado,Williams,20,15,9,Transmission,,0
2011,1,Australian Grand Prix,2011-03-27,Kobayashi,Sauber,21,9,58,Disqualified,,0
2011,1,Australian Grand Prix,2011-03-27,Pérez,Sauber,22,13,58,Disqualified,,0
2011,1,Australian Grand Prix,2011-03-27,Liuzzi,HRT,23,0,0,Did not qualify,,0
2011,1,Australian Grand Prix,2011-03-27,Karthikeyan,HRT,24,0,0,Did not qualify,,0
2011,2,Malaysian Grand Prix,2011-04-10,Vettel,Red Bull,1,1,56,Finished,1:37:39.832,25
2011,2,Malaysian Grand Prix,2011-04-10,Button,McLaren,2,4,56,Finished,+3.261,18
2011,2,Malaysian Grand Prix,2011-04-10,Heidfeld,Renault,3,6,56,Finished,+25.075,15
2011,2,Malaysian Grand Prix,2011-04-10,Webber,Red Bull,4,3,56,Finished,+26.384,12
2011,2,Malaysian Grand Prix,2011-04-10,Massa,Ferrari,5,7,56,Finished,+36.958,10
2011,2,Malaysian Grand Prix,2011-04-10,Alonso,Ferrari,6,5,56,Finished,+37.248,8
2011,2,Malaysian Grand Prix,2011-04-10,Kobayashi,Sauber,7,10,56,Finished,+1:06.439,6
2011,2,Malaysian Grand Prix,2011-04-10,Hamilton,McLaren,8,2,56,Finished,+1:09.957,4
2011,2,Malaysian Grand Prix,2011-04-10,Schumacher,Mercedes,9,11,56,Finished,+1:24.896,2
2011,2,Malaysian Grand Prix,2011-04-10,di Resta,Force India,10,14,56,Finished,+1:31.563,1
2011,2,Malaysian Grand Prix,2011-04-10,Sutil,Force India,11,17,55,+1 Lap,+1:41.379,0
2011,2,Malaysian Grand Prix,2011-04-10,Rosberg,Mercedes,12,9,55,+1 Lap,,0
2011,2,Malaysian Grand Prix,2011-04-10,Buemi,Toro Rosso,13,12,55,+1 Lap,,0
2011,2,Malaysian Grand Prix,2011-04-10,Alguersuari,Toro Rosso,14,13,55,+1 Lap,,0
2011,2,Malaysian Grand Prix,2011-04-10,Kovalainen,Lotus,15,19,55,+1 Lap,,0
2011,2,Malaysian Grand Prix,2011-04-10,Glock,Virgin,16,21,54,+2 Laps,,0
2011,2,Malaysian Grand Prix,2011-04-10,Petrov,Renault,17,8,52,Accident,,0
2011,2,Malaysian Grand Prix,2011-04-10,Liuzzi,HRT,18,23,46,+10 Laps,,0
2011,2,Malaysian Grand Prix,2011-04-10,d'Ambrosio,Virgin,19,22,42,Accident,,0
2011,2,Malaysian Grand Prix,2011-04-10,Trulli,Lotus,20,20,31,Clutch,,0
2011,2,Malaysian Grand Prix,2011-04-10,Pérez,Sauber,21,16,23,Accident,,0
2011,2,Malaysian Grand Prix,2011-04-10,Barrichello,Williams,22,15,22,Gearbox,,0
2011,2,Malaysian Grand Prix,2011-04-10,Karthikeyan,HRT,23,24,14,+42 Laps,,0
2011,2,Malaysian Grand Prix,2011-04-10,Maldonado,Williams,24,18,8,Engine misfire,,0
2011,3,Chinese Grand Prix,2011-04-17,Hamilton,McLaren,1,3,56,Finished,1:36:58.226,25
2011,3,Chinese Grand Prix,2011-04-17,Vettel,Red Bull,2,1,56,Finished,+5.198,18
2011,3,Chinese Grand Prix,2011-04-17,Webber,Red Bull,3,18,56,Finished,+7.555,15
2011,3,Chinese Grand Prix,2011-04-17,Button,McLaren,4,2,56,Finished,+10.000,12
2011,3,Chinese Grand Prix,2011-04-17,Rosberg,Mercedes,5,4,56,Finished,+13.448,10
2011,3,Chinese Grand Prix,2011-04-17,Massa,Ferrari,6,6,56,Finished,+15.840,8
2011,3,Chinese Grand Prix,2011-04-17,Alonso,Ferrari,7,5,56,Finished,+30.622,6
2011,3,Chinese Grand Prix,2011-04-17,Schumacher,Mercedes,8,14,56,Finished,+31.026,4
2011,3,Chinese Grand Prix,2011-04-17,Petrov,Renault,9,10,56,Finished,+57.404,2
2011,3,Chinese Grand Prix,2011-04-17,Kobayashi,Sauber,10,13,56,Finished,+1:03.273,1
2011,3,Chinese Grand Prix,2011-04-17,di Resta,Force India,11,8,56,Finished,+1:08.757,0
2011,3,Chinese Grand Prix,2011-04-17,Heidfeld,Renault,12,16,56,Finished,+1:12.739,0
2011,3,Chinese Grand Prix,2011-04-17,Barrichello,Williams,13,15,56,Finished,+1:30.189,0
2011,3,Chinese Grand Prix,2011-04-17,Buemi,Toro Rosso,14,9,56,Finished,+1:30.671,0
2011,3,Chinese Grand Prix,2011-04-17,Sutil,Force India,15,11,55,+1 Lap,,0
2011,3,Chinese Grand Prix,2011-04-17,Kovalainen,Lotus,16,19,55,+1 Lap,,0
2011,3,Chinese Grand Prix,2011-04-17,Pérez,Sauber,17,12,55,+1 Lap,,0
2011,3,Chinese Grand Prix,2011-04-17,Maldonado,Williams,18,17,55,+1 Lap,,0
2011,3,Chinese Grand Prix,2011-04-17,Trulli,Lotus,19,20,55,+1 Lap,,0
2011,3,Chinese Grand Prix,2011-04-17,d'Ambrosio,Virgin,20,21,54,+2 Laps,,0
2011,3,Chinese Grand Prix,2011-04-17,Glock,Virgin,21,22,54,+2 Laps,,0
2011,3,Chinese Grand Prix,2011-04-17,Liuzzi,HRT,22,23,54,+2 Laps,,0
2011,3,Chinese Grand Prix,2011-04-17,Karthikeyan,HRT,23,24,54,+2 Laps,,0
2011,3,Chinese Grand Prix,2011-04-17,Alguersuari,Toro Rosso,24,7,9,Wheel,,0
2011,4,Turkish Grand Prix,2011-05-08,Vettel,Red Bull,1,1,58,Finished,1:30:17.558,25
2011,4,Turkish Grand Prix,2011-05-08,Webber,Red Bull,2,2,58,Finished,+8.807,18
2011,4,Turkish Grand Prix,2011-05-08,Alonso,Ferrari,3,5,58,Finished,+10.075,15
2011,4,Turkish Grand Prix,2011-05-08,Hamilton,McLaren,4,4,58,Finished,+40.232,12
2011,4,Turkish Grand Prix,2011-05-08,Rosberg,Mercedes,5,3,58,Finished,+47.539,10
2011,4,Turkish Grand Prix,2011-05-08,Button,McLaren,6,6,58,Finished,+59.431,8
2011,4,Turkish Grand Prix,2011-05-08,Heidfeld,Renault,7,9,58,Finished,+1:00.857,6
2011,4,Turkish Grand Prix,2011-05-08,Petrov,Renault,8,7,58,Finished,+1:08.168,4
2011,4,Turkish Grand Prix,2011-05-08,Buemi,Toro Rosso,9,16,58,Finished,+1:09.394,2
2011,4,Turkish Grand Prix,2011-05-08,Kobayashi,Sauber,10,24,58,Finished,+1:18.021,1
