season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2017,1,Australian Grand Prix,2017-03-26,Vettel,Ferrari,1,2,57,Finished,1:24:11.672,25
2017,1,Australian Grand Prix,2017-03-26,Hamilton,Mercedes,2,1,57,Finished,+9.975,18
2017,1,Australian Grand Prix,2017-03-26,Bottas,Mercedes,3,3,57,Finished,+11.250,15
2017,1,Australian Grand Prix,2017-03-26,Räikkönen,Ferrari,4,4,57,Finished,+22.393,12
2017,1,Australian Grand Prix,2017-03-26,Verstappen,Red Bull,5,5,57,Finished,+28.827,10
2017,1,Australian Grand Prix,2017-03-26,Massa,Williams,6,7,57,Finished,+1:23.386,8
2017,1,Australian Grand Prix,2017-03-26,Pérez,Force India,7,10,56,+1 Lap,,6
2017,1,Australian Grand Prix,2017-03-26,Sainz,Toro Rosso,8,8,56,+1 Lap,,4
2017,1,Australian Grand Prix,2017-03-26,Kvyat,Toro Rosso,9,9,56,+1 Lap,,2
2017,1,Australian Grand Prix,2017-03-26,Ocon,Force India,10,13,56,+1 Lap,,1
2017,1,Australian Grand Prix,2017-03-26,Hülkenberg,Renault,11,11,56,+1 Lap,,0
2017,1,Australian Grand Prix,2017-03-26,Giovinazzi,Sauber,12,16,55,+2 Laps,,0
2017,1,Australian Grand Prix,2017-03-26,Vandoorne,McLaren,13,18,55,+2 Laps,,0
2017,1,Australian Grand Prix,2017-03-26,Alonso,McLaren,14,12,50,Vibrations,,0
2017,1,Australian Grand Prix,2017-03-26,Magnussen,Haas F1 Team,15,17,46,Suspension,,0
2017,1,Australian Grand Prix,2017-03-26,Stroll,Williams,16,20,40,Brakes,,0
2017,1,Australian Grand Prix,2017-03-26,Ricciardo,Red Bull,17,0,25,Power Unit,,0
2017,1,Australian Grand Prix,2017-03-26,Ericsson,Sauber,18,14,21,Hydraulics,,0
2017,1,Australian Grand Prix,2017-03-26,Palmer,Renault,19,19,15,Brakes,,0
2017,1,Australian Grand Prix,2017-03-26,Grosjean,Haas F1 Team,20,6,13,Water leak,,0
2017,2,Chinese Grand Prix,2017-04-09,Hamilton,Mercedes,1,1,56,Finished,1:37:36.158,25
2017,2,Chinese Grand Prix,2017-04-09,Vettel,Ferrari,2,2,56,Finished,+6.250,18
2017,2,Chinese Grand Prix,2017-04-09,Verstappen,Red Bull,3,16,56,Finished,+45.192,15
2017,2,Chinese Grand Prix,2017-04-09,Ricciardo,Red Bull,4,5,56,Finished,+46.035,12
2017,2,Chinese Grand Prix,2017-04-09,Räikkönen,Ferrari,5,4,56,Finished,+48.076,10
2017,2,Chinese Grand Prix,2017-04-09,Bottas,Mercedes,6,3,56,Finished,+48.808,8
2017,2,Chinese Grand Prix,2017-04-09,Sainz,Toro Rosso,7,11,56,Finished,+1:12.893,6
2017,2,Chinese Grand Prix,2017-04-09,Magnussen,Haas F1 Team,8,12,55,+1 Lap,,4
2017,2,Chinese Grand Prix,2017-04-09,Pérez,Force India,9,8,55,+1 Lap,,2
2017,2,Chinese Grand Prix,2017-04-09,Ocon,Force India,10,17,55,+1 Lap,,1
2017,2,Chinese Grand Prix,2017-04-09,Grosjean,Haas F1 Team,11,19,55,+1 Lap,,0
2017,2,Chinese Grand Prix,2017-04-09,Hülkenberg,Renault,12,7,55,+1 Lap,,0
2017,2,Chinese Grand Prix,2017-04-09,Palmer,Renault,13,20,55,+1 Lap,,0
2017,2,Chinese Grand Prix,2017-04-09,Massa,Williams,14,6,55,+1 Lap,,0
2017,2,Chinese Grand Prix,2017-04-09,Ericsson,Sauber,15,14,55,+1 Lap,,0
2017,2,Chinese Grand Prix,2017-04-09,Alonso,McLaren,16,13,33,Driveshaft,,0
2017,2,Chinese Grand Prix,2017-04-09,Kvyat,Toro Rosso,17,9,18,Hydraulics,,0
2017,2,Chinese Grand Prix,2017-04-09,Vandoorne,McLaren,18,15,17,Fuel pressure,,0
2017,2,Chinese Grand Prix,2017-04-09,Giovinazzi,Sauber,19,18,3,Accident,,0
2017,2,Chinese Grand Prix,2017-04-09,Stroll,Williams,20,10,0,Collision,,0
2017,3,Bahrain Grand Prix,2017-04-16,Vettel,Ferrari,1,3,57,Finished,1:33:53.374,25
2017,3,Bahrain Grand Prix,2017-04-16,Hamilton,Mercedes,2,2,57,Finished,+6.660,18
2017,3,Bahrain Grand Prix,2017-04-16,Bottas,Mercedes,3,1,57,Finished,+20.397,15
2017,3,Bahrain Grand Prix,2017-04-16,Räikkönen,Ferrari,4,5,57,Finished,+22.475,12
2017,3,Bahrain Grand Prix,2017-04-16,Ricciardo,Red Bull,5,4,57,Finished,+39.346,10
2017,3,Bahrain Grand Prix,2017-04-16,Massa,Williams,6,8,57,Finished,+54.326,8
2017,3,Bahrain Grand Prix,2017-04-16,Pérez,Force India,7,18,57,Finished,+1:02.606,6
2017,3,Bahrain Grand Prix,2017-04-16,Grosjean,Haas F1 Team,8,9,57,Finished,+1:14.865,4
2017,3,Bahrain Grand Prix,2017-04-16,Hülkenberg,Renault,9,7,57,Finished,+1:20.188,2
2017,3,Bahrain Grand Prix,2017-04-16,Ocon,Force India,10,14,57,Finished,+1:35.711,1
2017,3,Bahrain Grand Prix,2017-04-16,Wehrlein,Sauber,11,13,56,+1 Lap,,0
2017,3,Bahrain Grand Prix,2017-04-16,Kvyat,Toro Rosso,12,11,56,+1 Lap,,0
2017,3,Bahrain Grand Prix,2017-04-16,Palmer,Renault,13,10,56,+1 Lap,,0
2017,3,Bahrain Grand Prix,2017-04-16,Alonso,McLaren,14,15,54,Power Unit,,0
2017,3,Bahrain Grand Prix,2017-04-16,Ericsson,Sauber,15,19,50,Gearbox,,0
2017,3,Bahrain Grand Prix,2017-04-16,Sainz,Toro Rosso,16,16,12,Collision,,0
2017,3,Bahrain Grand Prix,2017-04-16,Stroll,Williams,17,12,12,Collision,,0
2017,3,Bahrain Grand Prix,2017-04-16,Verstappen,Red Bull,18,6,11,Brakes,,0
2017,3,Bahrain Grand Prix,2017-04-16,Magnussen,Haas F1 Team,19,20,8,Electrical,,0
2017,3,Bahrain Grand Prix,2017-04-16,Vandoorne,McLaren,20,17,0,Power Unit,,0
2017,4,Russian Grand Prix,2017-04-30,Bottas,Mercedes,1,3,52,Finished,1:28:08.743,25
2017,4,Russian Grand Prix,2017-04-30,Vettel,Ferrari,2,1,52,Finished,+0.617,18
2017,4,Russian Grand Prix,2017-04-30,Räikkönen,Ferrari,3,2,52,Finished,+11.000,15
2017,4,Russian Grand Prix,2017-04-30,Hamilton,Mercedes,4,4,52,Finished,+36.320,12
2017,4,Russian Grand Prix,2017-04-30,Verstappen,Red Bull,5,7,52,Finished,+1:00.416,10
2017,4,Russian Grand Prix,2017-04-30,Pérez,Force India,6,9,52,Finished,+1:26.788,8
2017,4,Russian Grand Prix,2017-04-30,Ocon,Force India,7,10,52,Finished,+1:35.004,6
2017,4,Russian Grand Prix,2017-04-30,Hülkenberg,Renault,8,8,52,Finished,+1:36.188,4
2017,4,Russian Grand Prix,2017-04-30,Massa,Williams,9,6,51,+1 Lap,,2
2017,4,Russian Grand Prix,2017-04-30,Sainz,Toro Rosso,10,14,51,+1 Lap,,1
2017,4,Russian Grand Prix,2017-04-30,Stroll,Williams,11,11,51,+1 Lap,,0
2017,4,Russian Grand Prix,2017-04-30,Kvyat,Toro Rosso,12,12,51,+1 Lap,,0
2017,4,Russian Grand Prix,2017-04-30,Magnussen,Haas F1 Team,13,13,51,+1 Lap,,0
2017,4,Russian Grand Prix,2017-04-30,Vandoorne,McLaren,14,20,51,+1 Lap,,0
2017,4,Russian Grand Prix,2017-04-30,Ericsson,Sauber,15,18,51,+1 Lap,,0
2017,4,Russian Grand Prix,2017-04-30,Wehrlein,Sauber,16,17,50,+2 Laps,,0
