season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2024,1,Bahrain Grand Prix,2024-03-02,Verstappen,Red Bull,1,1,57,Finished,1:31:44.742,26
2024,1,Bahrain Grand Prix,2024-03-02,Pérez,Red Bull,2,5,57,Finished,+22.457,18
2024,1,Bahrain Grand Prix,2024-03-02,Sainz,Ferrari,3,4,57,Finished,+25.110,15
2024,1,Bahrain Grand Prix,2024-03-02,Leclerc,Ferrari,4,2,57,Finished,+39.669,12
2024,1,Bahrain Grand Prix,2024-03-02,Russell,Mercedes,5,3,57,Finished,+46.788,10
2024,1,Bahrain Grand Prix,2024-03-02,Norris,McLaren,6,7,57,Finished,+48.458,8
2024,1,Bahrain Grand Prix,2024-03-02,Hamilton,Mercedes,7,9,57,Finished,+50.324,6
2024,1,Bahrain Grand Prix,2024-03-02,Piastri,McLaren,8,8,57,Finished,+56.082,4
2024,1,Bahrain Grand Prix,2024-03-02,Alonso,Aston Martin,9,6,57,Finished,+1:14.887,2
2024,1,Bahrain Grand Prix,2024-03-02,Stroll,Aston Martin,10,12,57,Finished,+1:33.216,1
2024,1,Bahrain Grand Prix,2024-03-02,Zhou,Sauber,11,17,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Magnussen,Haas F1 Team,12,15,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Ricciardo,RB F1 Team,13,14,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Tsunoda,RB F1 Team,14,11,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Albon,Williams,15,13,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Hülkenberg,Haas F1 Team,16,10,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Ocon,Alpine F1 Team,17,19,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Gasly,Alpine F1 Team,18,20,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Bottas,Sauber,19,16,56,+1 Lap,,0
2024,1,Bahrain Grand Prix,2024-03-02,Sargeant,Williams,20,18,55,+2 Laps,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Verstappen,Red Bull,1,1,50,Finished,1:20:43.273,25
2024,2,Saudi Arabian Grand Prix,2024-03-09,Pérez,Red Bull,2,3,50,Finished,+13.6431,18
2024,2,Saudi Arabian Grand Prix,2024-03-09,Leclerc,Ferrari,3,2,50,Finished,+18.639,16
2024,2,Saudi Arabian Grand Prix,2024-03-09,Piastri,McLaren,4,5,50,Finished,+32.007,12
2024,2,Saudi Arabian Grand Prix,2024-03-09,Alonso,Aston Martin,5,4,50,Finished,+35.759,10
2024,2,Saudi Arabian Grand Prix,2024-03-09,Russell,Mercedes,6,7,50,Finished,+39.936,8
2024,2,Saudi Arabian Grand Prix,2024-03-09,Bearman,Ferrari,7,11,50,Finished,+42.679,6
2024,2,Saudi Arabian Grand Prix,2024-03-09,Norris,McLaren,8,6,50,Finished,+45.708,4
2024,2,Saudi Arabian Grand Prix,2024-03-09,Hamilton,Mercedes,9,8,50,Finished,+47.391,2
2024,2,Saudi Arabian Grand Prix,2024-03-09,Hülkenberg,Haas F1 Team,10,15,50,Finished,+1:16.996,1
2024,2,Saudi Arabian Grand Prix,2024-03-09,Albon,Williams,11,12,50,Finished,+1:28.354,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Magnussen,Haas F1 Team,12,13,50,Finished,+1:45.7373,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Ocon,Alpine F1 Team,13,17,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Sargeant,Williams,14,19,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Tsunoda,RB F1 Team,15,9,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Ricciardo,RB F1 Team,16,14,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Bottas,Sauber,17,16,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Zhou,Sauber,18,20,49,+1 Lap,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Stroll,Aston Martin,19,10,5,Accident,,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Gasly,Alpine F1 Team,20,18,1,Gearbox,,0
2024,3,Australian Grand Prix,2024-03-24,Sainz,Ferrari,1,2,58,Finished,1:20:26.843,25
2024,3,Australian Grand Prix,2024-03-24,Leclerc,Ferrari,2,4,58,Finished,+2.366,19
2024,3,Australian Grand Prix,2024-03-24,Norris,McLaren,3,3,58,Finished,+5.904,15
2024,3,Australian Grand Prix,2024-03-24,Piastri,McLaren,4,5,58,Finished,+35.770,12
2024,3,Australian Grand Prix,2024-03-24,Pérez,Red Bull,5,6,58,Finished,+56.309,10
2024,3,Australian Grand Prix,2024-03-24,Stroll,Aston Martin,6,9,58,Finished,+1:33.222,8
2024,3,Australian Grand Prix,2024-03-24,Tsunoda,RB F1 Team,7,8,58,Finished,+1:35.601,6
2024,3,Australian Grand Prix,2024-03-24,Alonso,Aston Martin,8,10,58,Finished,+1:40.992,4
2024,3,Australian Grand Prix,2024-03-24,Hülkenberg,Haas F1 Team,9,16,58,Finished,+1:44.553,2
2024,3,Australian Grand Prix,2024-03-24,Magnussen,Haas F1 Team,10,14,57,+1 Lap,,1
2024,3,Australian Grand Prix,2024-03-24,Albon,Williams,11,12,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Ricciardo,RB F1 Team,12,18,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Gasly,Alpine F1 Team,13,17,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Bottas,Sauber,14,13,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Zhou,Sauber,15,19,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Ocon,Alpine F1 Team,16,15,57,+1 Lap,,0
2024,3,Australian Grand Prix,2024-03-24,Russell,Mercedes,17,7,56,Accident,,0
2024,3,Australian Grand Prix,2024-03-24,Hamilton,Mercedes,18,11,15,Engine,,0
2024,3,Australian Grand Prix,2024-03-24,Verstappen,Red Bull,19,1,3,Brakes,,0
2024,4,Japanese Grand Prix,2024-04-07,Verstappen,Red Bull,1,1,53,Finished,1:54:23.566,26
2024,4,Japanese Grand Prix,2024-04-07,Pérez,Red Bull,2,2,53,Finished,+12.535,18
2024,4,Japanese Grand Prix,2024-04-07,Sainz,Ferrari,3,4,53,Finished,+20.866,15
2024,4,Japanese Grand Prix,2024-04-07,Leclerc,Ferrari,4,8,53,Finished,+26.522,12
2024,4,Japanese Grand Prix,2024-04-07,Norris,McLaren,5,3,53,Finished,+29.700,10
2024,4,Japanese Grand Prix,2024-04-07,Alonso,Aston Martin,6,5,53,Finished,+44.272,8
2024,4,Japanese Grand Prix,2024-04-07,Russell,Mercedes,7,9,53,Finished,+45.951,6
2024,4,Japanese Grand Prix,2024-04-07,Piastri,McLaren,8,6,53,Finished,+47.525,4
2024,4,Japanese Grand Prix,2024-04-07,Hamilton,Mercedes,9,7,53,Finished,+48.626,2
2024,4,Japanese Grand Prix,2024-04-07,Tsunoda,RB F1 Team,10,10,52,+1 Lap,,1
2024,4,Japanese Grand Prix,2024-04-07,Hülkenberg,Haas F1 Team,11,12,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Stroll,Aston Martin,12,16,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Magnussen,Haas F1 Team,13,18,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Bottas,Sauber,14,13,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Ocon,Alpine F1 Team,15,15,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Gasly,Alpine F1 Team,16,17,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Sargeant,Williams,17,19,52,+1 Lap,,0
2024,4,Japanese Grand Prix,2024-04-07,Zhou,Sauber,18,20,12,Gearbox,,0
2024,4,Japanese Grand Prix,2024-04-07,Ricciardo,RB F1 Team,19,11,0,Accident,,0
2024,4,Japanese Grand Prix,2024-04-07,Albon,Williams,20,14,0,Accident,,0
2024,5,Chinese Grand Prix,2024-04-21,Verstappen,Red Bull,1,1,56,Finished,1:40:52.554,25
2024,5,Chinese Grand Prix,2024-04-21,Norris,McLaren,2,4,56,Finished,+13.773,18
2024,5,Chinese Grand Prix,2024-04-21,Pérez,Red Bull,3,2,56,Finished,+19.160,15
2024,5,Chinese Grand Prix,2024-04-21,Leclerc,Ferrari,4,6,56,Finished,+23.623,12
2024,5,Chinese Grand Prix,2024-04-21,Sainz,Ferrari,5,7,56,Finished,+33.983,10
2024,5,Chinese Grand Prix,2024-04-21,Russell,Mercedes,6,8,56,Finished,+38.724,8
2024,5,Chinese Grand Prix,2024-04-21,Alonso,Aston Martin,7,3,56,Finished,+43.414,7
2024,5,Chinese Grand Prix,2024-04-21,Piastri,McLaren,8,5,56,Finished,+56.198,4
2024,5,Chinese Grand Prix,2024-04-21,Hamilton,Mercedes,9,18,56,Finished,+57.986,2
2024,5,Chinese Grand Prix,2024-04-21,Hülkenberg,Haas F1 Team,10,9,56,Finished,+1:00.476,1
2024,5,Chinese Grand Prix,2024-04-21,Ocon,Alpine F1 Team,11,13,56,Finished,+1:02.812,0
2024,5,Chinese Grand Prix,2024-04-21,Albon,Williams,12,14,56,Finished,+1:05.506,0
2024,5,Chinese Grand Prix,2024-04-21,Gasly,Alpine F1 Team,13,15,56,Finished,+1:09.223,0
2024,5,Chinese Grand Prix,2024-04-21,Zhou,Sauber,14,16,56,Finished,+1:11.689,0
2024,5,Chinese Grand Prix,2024-04-21,Stroll,Aston Martin,15,11,56,Finished,+1:22.786,0
2024,5,Chinese Grand Prix,2024-04-21,Magnussen,Haas F1 Team,16,17,56,Finished,+1:27.533,0
2024,5,Chinese Grand Prix,2024-04-21,Sargeant,Williams,17,20,56,Finished,+1:35.110,0
2024,5,Chinese Grand Prix,2024-04-21,Ricciardo,RB F1 Team,18,12,33,Retired,,0
2024,5,Chinese Grand Prix,2024-04-21,Tsunoda,RB F1 Team,19,19,26,Retired,,0
2024,5,Chinese Grand Prix,2024-04-21,Bottas,Sauber,20,10,19,Retired,,0
2024,6,Miami Grand Prix,2024-05-05,Norris,McLaren,1,5,57,Finished,1:30:49.876,25
2024,6,Miami Grand Prix,2024-05-05,Verstappen,Red Bull,2,1,57,Finished,+7.612,18
2024,6,Miami Grand Prix,2024-05-05,Leclerc,Ferrari,3,2,57,Finished,+9.920,15
2024,6,Miami Grand Prix,2024-05-05,Pérez,Red Bull,4,4,57,Finished,+14.650,12
2024,6,Miami Grand Prix,2024-05-05,Sainz,Ferrari,5,3,57,Finished,+16.407,10
2024,6,Miami Grand Prix,2024-05-05,Hamilton,Mercedes,6,8,57,Finished,+16.585,8
2024,6,Miami Grand Prix,2024-05-05,Tsunoda,RB F1 Team,7,10,57,Finished,+26.185,6
2024,6,Miami Grand Prix,2024-05-05,Russell,Mercedes,8,7,57,Finished,+34.789,4
