season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1957,1,Argentine Grand Prix,1957-01-13,Fangio,Maserati,1,2,100,Finished,3:00:55.9,8
1957,1,Argentine Grand Prix,1957-01-13,Behra,Maserati,2,3,100,Finished,+18.3,6
1957,1,Argentine Grand Prix,1957-01-13,Menditeguy,Maserati,3,8,99,+1 Lap,,4
1957,1,Argentine Grand Prix,1957-01-13,Schell,Maserati,4,9,98,+2 Laps,,3
1957,1,Argentine Grand Prix,1957-01-13,de Portago,Ferrari,5,10,98,+2 Laps,,1
1957,1,Argentine Grand Prix,1957-01-13,González,Ferrari,5,10,98,+2 Laps,,1
1957,1,Argentine Grand Prix,1957-01-13,Perdisa,Ferrari,6,11,98,+2 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,Collins,Ferrari,6,11,98,+2 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,von Trips,Ferrari,6,11,98,+2 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,Bonnier,Maserati,7,13,95,+5 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,Moss,Maserati,8,1,93,+7 Laps,,1
1957,1,Argentine Grand Prix,1957-01-13,de Tomaso,Ferrari,9,12,91,+9 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,Piotti,Maserati,10,14,90,+10 Laps,,0
1957,1,Argentine Grand Prix,1957-01-13,Castellotti,Ferrari,11,4,75,Wheel,,0
1957,1,Argentine Grand Prix,1957-01-13,Hawthorn,Ferrari,12,7,35,Clutch,,0
1957,1,Argentine Grand Prix,1957-01-13,Musso,Ferrari,13,6,31,Clutch,,0
1957,1,Argentine Grand Prix,1957-01-13,Collins,Ferrari,14,5,26,Clutch,,0
1957,2,Monaco Grand Prix,1957-05-19,Fangio,Maserati,1,1,105,Finished,3:10:12.8,9
1957,2,Monaco Grand Prix,1957-05-19,Brooks,Vanwall,2,4,105,Finished,+25.2,6
1957,2,Monaco Grand Prix,1957-05-19,Gregory,Maserati,3,10,103,+2 Laps,,4
1957,2,Monaco Grand Prix,1957-05-19,Lewis-Evans,Connaught,4,13,102,+3 Laps,,3
1957,2,Monaco Grand Prix,1957-05-19,Trintignant,Ferrari,5,6,100,+5 Laps,,2
1957,2,Monaco Grand Prix,1957-05-19,Brabham,Cooper,6,15,100,+5 Laps,,0
1957,2,Monaco Grand Prix,1957-05-19,von Trips,Ferrari,7,9,95,Engine,,0
1957,2,Monaco Grand Prix,1957-05-19,Hawthorn,Ferrari,7,9,95,Engine,,0
1957,2,Monaco Grand Prix,1957-05-19,Scarlatti,Maserati,8,14,64,Oil leak,,0
1957,2,Monaco Grand Prix,1957-05-19,Schell,Maserati,8,14,64,Oil leak,,0
1957,2,Monaco Grand Prix,1957-05-19,Flockhart,BRM,9,11,60,Engine,,0
