season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2013,1,Australian Grand Prix,2013-03-17,Räikkönen,Lotus F1,1,7,58,Finished,1:30:03.225,25
2013,1,Australian Grand Prix,2013-03-17,Alonso,Ferrari,2,5,58,Finished,+12.451,18
2013,1,Australian Grand Prix,2013-03-17,Vettel,Red Bull,3,1,58,Finished,+22.346,15
2013,1,Australian Grand Prix,2013-03-17,Massa,Ferrari,4,4,58,Finished,+33.577,12
2013,1,Australian Grand Prix,2013-03-17,Hamilton,Mercedes,5,3,58,Finished,+45.561,10
2013,1,Australian Grand Prix,2013-03-17,Webber,Red Bull,6,2,58,Finished,+46.800,8
2013,1,Australian Grand Prix,2013-03-17,Sutil,Force India,7,12,58,Finished,+1:05.068,6
2013,1,Australian Grand Prix,2013-03-17,di Resta,Force India,8,9,58,Finished,+1:08.449,4
2013,1,Australian Grand Prix,2013-03-17,Button,McLaren,9,10,58,Finished,+1:21.630,2
2013,1,Australian Grand Prix,2013-03-17,Grosjean,Lotus F1,10,8,58,Finished,+1:22.759,1
2013,1,Australian Grand Prix,2013-03-17,Pérez,McLaren,11,15,58,Finished,+1:23.367,0
2013,1,Australian Grand Prix,2013-03-17,Vergne,Toro Rosso,12,13,58,Finished,+1:23.857,0
2013,1,Australian Grand Prix,2013-03-17,Gutiérrez,Sauber,13,18,57,+1 Lap,,0
2013,1,Australian Grand Prix,2013-03-17,Bottas,Williams,14,16,57,+1 Lap,,0
2013,1,Australian Grand Prix,2013-03-17,Bianchi,Marussia,15,19,57,+1 Lap,,0
2013,1,Australian Grand Prix,2013-03-17,Pic,Caterham,16,22,56,+2 Laps,,0
2013,1,Australian Grand Prix,2013-03-17,Chilton,Marussia,17,20,56,+2 Laps,,0
2013,1,Australian Grand Prix,2013-03-17,van der Garde,Caterham,18,21,56,+2 Laps,,0
2013,1,Australian Grand Prix,2013-03-17,Ricciardo,Toro Rosso,19,14,39,Hydraulics,,0
2013,1,Australian Grand Prix,2013-03-17,Rosberg,Mercedes,20,6,26,Electrical,,0
2013,1,Australian Grand Prix,2013-03-17,Maldonado,Williams,21,17,24,Spun off,,0
2013,1,Australian Grand Prix,2013-03-17,Hülkenberg,Sauber,22,11,0,Fuel system,,0
2013,2,Malaysian Grand Prix,2013-03-24,Vettel,Red Bull,1,1,56,Finished,1:38:56.681,25
2013,2,Malaysian Grand Prix,2013-03-24,Webber,Red Bull,2,5,56,Finished,+4.298,18
2013,2,Malaysian Grand Prix,2013-03-24,Hamilton,Mercedes,3,4,56,Finished,+12.181,15
2013,2,Malaysian Grand Prix,2013-03-24,Rosberg,Mercedes,4,6,56,Finished,+12.640,12
2013,2,Malaysian Grand Prix,2013-03-24,Massa,Ferrari,5,2,56,Finished,+25.648,10
2013,2,Malaysian Grand Prix,2013-03-24,Grosjean,Lotus F1,6,11,56,Finished,+35.564,8
2013,2,Malaysian Grand Prix,2013-03-24,Räikkönen,Lotus F1,7,10,56,Finished,+48.479,6
2013,2,Malaysian Grand Prix,2013-03-24,Hülkenberg,Sauber,8,12,56,Finished,+53.044,4
2013,2,Malaysian Grand Prix,2013-03-24,Pérez,McLaren,9,9,56,Finished,+1:12.357,2
2013,2,Malaysian Grand Prix,2013-03-24,Vergne,Toro Rosso,10,17,56,Finished,+1:27.124,1
2013,2,Malaysian Grand Prix,2013-03-24,Bottas,Williams,11,18,56,Finished,+1:28.610,0
2013,2,Malaysian Grand Prix,2013-03-24,Gutiérrez,Sauber,12,14,55,+1 Lap,,0
2013,2,Malaysian Grand Prix,2013-03-24,Bianchi,Marussia,13,19,55,+1 Lap,,0
2013,2,Malaysian Grand Prix,2013-03-24,Pic,Caterham,14,20,55,+1 Lap,,0
2013,2,Malaysian Grand Prix,2013-03-24,van der Garde,Caterham,15,22,55,+1 Lap,,0
2013,2,Malaysian Grand Prix,2013-03-24,Chilton,Marussia,16,21,54,+2 Laps,,0
2013,2,Malaysian Grand Prix,2013-03-24,Button,McLaren,17,7,53,Withdrew,,0
2013,2,Malaysian Grand Prix,2013-03-24,Ricciardo,Toro Rosso,18,13,51,Retired,,0
2013,2,Malaysian Grand Prix,2013-03-24,Maldonado,Williams,19,16,45,Retired,,0
