season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2019,1,Australian Grand Prix,2019-03-17,Bottas,Mercedes,1,2,58,Finished,1:25:27.325,26
2019,1,Australian Grand Prix,2019-03-17,Hamilton,Mercedes,2,1,58,Finished,+20.886,18
2019,1,Australian Grand Prix,2019-03-17,Verstappen,Red Bull,3,4,58,Finished,+22.520,15
2019,1,Australian Grand Prix,2019-03-17,Vettel,Ferrari,4,3,58,Finished,+57.109,12
2019,1,Australian Grand Prix,2019-03-17,Leclerc,Ferrari,5,5,58,Finished,+58.203,10
2019,1,Australian Grand Prix,2019-03-17,Magnussen,Haas F1 Team,6,7,58,Finished,+1:27.156,8
2019,1,Australian Grand Prix,2019-03-17,Hülkenberg,Renault,7,11,57,+1 Lap,,6
2019,1,Australian Grand Prix,2019-03-17,Räikkönen,Alfa Romeo,8,9,57,+1 Lap,,4
2019,1,Australian Grand Prix,2019-03-17,Stroll,Racing Point,9,16,57,+1 Lap,,2
2019,1,Australian Grand Prix,2019-03-17,Kvyat,Toro Rosso,10,15,57,+1 Lap,,1
2019,1,Australian Grand Prix,2019-03-17,Gasly,Red Bull,11,17,57,+1 Lap,,0
2019,1,Australian Grand Prix,2019-03-17,Norris,McLaren,12,8,57,+1 Lap,,0
2019,1,Australian Grand Prix,2019-03-17,Pérez,Racing Point,13,10,57,+1 Lap,,0
2019,1,Australian Grand Prix,2019-03-17,Albon,Toro Rosso,14,13,57,+1 Lap,,0
2019,1,Australian Grand Prix,2019-03-17,Giovinazzi,Alfa Romeo,15,14,57,+1 Lap,,0
2019,1,Australian Grand Prix,2019-03-17,Russell,Williams,16,19,56,+2 Laps,,0
2019,1,Australian Grand Prix,2019-03-17,Kubica,Williams,17,20,55,+3 Laps,,0
2019,1,Australian Grand Prix,2019-03-17,Grosjean,Haas F1 Team,18,6,29,Wheel,,0
2019,1,Australian Grand Prix,2019-03-17,Ricciardo,Renault,19,12,28,Damage,,0
2019,1,Australian Grand Prix,2019-03-17,Sainz,McLaren,20,18,9,Engine,,0
2019,2,Bahrain Grand Prix,2019-03-31,Hamilton,Mercedes,1,3,57,Finished,1:34:21.295,25
2019,2,Bahrain Grand Prix,2019-03-31,Bottas,Mercedes,2,4,57,Finished,+2.980,18
2019,2,Bahrain Grand Prix,2019-03-31,Leclerc,Ferrari,3,1,57,Finished,+6.131,16
2019,2,Bahrain Grand Prix,2019-03-31,Verstappen,Red Bull,4,5,57,Finished,+6.408,12
2019,2,Bahrain Grand Prix,2019-03-31,Vettel,Ferrari,5,2,57,Finished,+36.068,10
2019,2,Bahrain Grand Prix,2019-03-31,Norris,McLaren,6,9,57,Finished,+45.754,8
2019,2,Bahrain Grand Prix,2019-03-31,Räikkönen,Alfa Romeo,7,8,57,Finished,+47.470,6
2019,2,Bahrain Grand Prix,2019-03-31,Gasly,Red Bull,8,13,57,Finished,+58.094,4
2019,2,Bahrain Grand Prix,2019-03-31,Albon,Toro Rosso,9,12,57,Finished,+1:02.697,2
2019,2,Bahrain Grand Prix,2019-03-31,Pérez,Racing Point,10,14,57,Finished,+1:03.696,1
2019,2,Bahrain Grand Prix,2019-03-31,Giovinazzi,Alfa Romeo,11,16,57,Finished,+1:04.599,0
2019,2,Bahrain Grand Prix,2019-03-31,Kvyat,Toro Rosso,12,15,56,+1 Lap,,0
2019,2,Bahrain Grand Prix,2019-03-31,Magnussen,Haas F1 Team,13,6,56,+1 Lap,,0
2019,2,Bahrain Grand Prix,2019-03-31,Stroll,Racing Point,14,18,56,+1 Lap,,0
2019,2,Bahrain Grand Prix,2019-03-31,Russell,Williams,15,19,56,+1 Lap,,0
