season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
2010,1,Bahrain Grand Prix,2010-03-14,Alonso,Ferrari,1,3,49,Finished,1:39:20.396,25
2010,1,Bahrain Grand Prix,2010-03-14,Massa,Ferrari,2,2,49,Finished,+16.099,18
2010,1,Bahrain Grand Prix,2010-03-14,Hamilton,McLaren,3,4,49,Finished,+23.182,15
2010,1,Bahrain Grand Prix,2010-03-14,Vettel,Red Bull,4,1,49,Finished,+38.799,12
2010,1,Bahrain Grand Prix,2010-03-14,Rosberg,Mercedes,5,5,49,Finished,+40.213,10
2010,1,Bahrain Grand Prix,2010-03-14,Schumacher,Mercedes,6,7,49,Finished,+44.163,8
2010,1,Bahrain Grand Prix,2010-03-14,Button,McLaren,7,8,49,Finished,+45.280,6
2010,1,Bahrain Grand Prix,2010-03-14,Webber,Red Bull,8,6,49,Finished,+46.360,4
2010,1,Bahrain Grand Prix,2010-03-14,Liuzzi,Force India,9,12,49,Finished,+53.008,2
2010,1,Bahrain Grand Prix,2010-03-14,Barrichello,Williams,10,11,49,Finished,+1:02.489,1
2010,1,Bahrain Grand Prix,2010-03-14,Kubica,Renault,11,9,49,Finished,+1:09.093,0
2010,1,Bahrain Grand Prix,2010-03-14,Sutil,Force India,12,10,49,Finished,+1:22.958,0
2010,1,Bahrain Grand Prix,2010-03-14,Alguersuari,Toro Rosso,13,18,49,Finished,+1:32.656,0
2010,1,Bahrain Grand Prix,2010-03-14,Hülkenberg,Williams,14,13,48,+1 Lap,,0
2010,1,Bahrain Grand Prix,2010-03-14,Kovalainen,Lotus,15,21,47,+2 Laps,,0
2010,1,Bahrain Grand Prix,2010-03-14,Buemi,Toro Rosso,16,15,46,Electrical,,0
2010,1,Bahrain Grand Prix,2010-03-14,Trulli,Lotus,17,20,46,Hydraulics,,0
2010,1,Bahrain Grand Prix,2010-03-14,de la Rosa,Sauber,18,14,28,Hydraulics,,0
2010,1,Bahrain Grand Prix,2010-03-14,Senna,HRT,19,23,17,Overheating,,0
2010,1,Bahrain Grand Prix,2010-03-14,Glock,Virgin,20,19,16,Gearbox,,0
2010,1,Bahrain Grand Prix,2010-03-14,Petrov,Renault,21,17,13,Suspension,,0
2010,1,Bahrain Grand Prix,2010-03-14,Kobayashi,Sauber,22,16,11,Hydraulics,,0
2010,1,Bahrain Grand Prix,2010-03-14,di Grassi,Virgin,23,22,2,Hydraulics,,0
2010,1,Bahrain Grand Prix,2010-03-14,Chandhok,HRT,24,24,1,Accident,,0
2010,2,Australian Grand Prix,2010-03-28,Button,McLaren,1,4,58,Finished,1:33:36.531,25
