season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1990,1,United States Grand Prix,1990-03-11,Senna,McLaren,1,5,72,Finished,1:52:32.829,9
1990,1,United States Grand Prix,1990-03-11,Alesi,Tyrrell,2,4,72,Finished,+8.685,6
1990,1,United States Grand Prix,1990-03-11,Boutsen,Williams,3,9,72,Finished,+54.080,4
1990,1,United States Grand Prix,1990-03-11,Piquet,Benetton,4,6,72,Finished,+1:08.358,3
1990,1,United States Grand Prix,1990-03-11,Modena,Brabham,5,10,72,Finished,+1:09.503,2
1990,1,United States Grand Prix,1990-03-11,Nakajima,Tyrrell,6,11,71,+1 Lap,,1
1990,1,United States Grand Prix,1990-03-11,Martini,Minardi,7,2,71,+1 Lap,,0
1990,1,United States Grand Prix,1990-03-11,Bernard,Larrousse,8,15,71,+1 Lap,,0
1990,1,United States Grand Prix,1990-03-11,Patrese,Williams,9,12,71,+1 Lap,,0
1990,1,United States Grand Prix,1990-03-11,Alboreto,Arrows,10,21,70,+2 Laps,,0
1990,1,United States Grand Prix,1990-03-11,Nannini,Benetton,11,22,70,+2 Laps,,0
1990,1,United States Grand Prix,1990-03-11,Schneider,Arrows,12,20,70,+2 Laps,,0
1990,1,United States Grand Prix,1990-03-11,Moreno,Euro Brun,13,16,67,+5 Laps,,0
1990,1,United States Grand Prix,1990-03-11,Gugelmin,Leyton House,14,25,66,+6 Laps,,0
1990,1,United States Grand Prix,1990-03-11,Barilla,Minardi,15,14,54,Physical,,0
1990,1,United States Grand Prix,1990-03-11,Suzuki,Larrousse,16,18,53,Brakes,,0
1990,1,United States Grand Prix,1990-03-11,Mansell,Ferrari,17,17,49,Clutch,,0
1990,1,United States Grand Prix,1990-03-11,Berger,McLaren,18,1,44,Clutch,,0
1990,1,United States Grand Prix,1990-03-11,Foitek,Brabham,19,23,39,Accident,,0
1990,1,United States Grand Prix,1990-03-11,Grouillard,Osella,20,8,39,Collision,,0
1990,1,United States Grand Prix,1990-03-11,de Cesaris,Dallara,21,3,25,Engine,,0
1990,1,United States Grand Prix,1990-03-11,Prost,Ferrari,22,7,21,Oil leak,,0
1990,1,United States Grand Prix,1990-03-11,Capelli,Leyton House,23,26,20,Electrical,,0
1990,1,United States Grand Prix,1990-03-11,Warwick,Team Lotus,24,24,6,Gearbox,,0
1990,1,United States Grand Prix,1990-03-11,Larini,Ligier,25,13,4,Throttle,,0
1990,1,United States Grand Prix,1990-03-11,Donnelly,Team Lotus,26,19,0,Gearbox,,0
1990,1,United States Grand Prix,1990-03-11,Alliot,Ligier,27,0,0,Disqualified,,0
1990,1,United States Grand Prix,1990-03-11,Johansson,Onyx,28,0,0,Did not qualify,,0
1990,1,United States Grand Prix,1990-03-11,Morbidelli,Dallara,29,0,0,Did not qualify,,0
1990,1,United States Grand Prix,1990-03-11,Järvilehto,Onyx,30,0,0,Did not qualify,,0
1990,1,United States Grand Prix,1990-03-11,Tarquini,AGS,31,0,0,Did not prequalify,,0
1990,1,United States Grand Prix,1990-03-11,Dalmas,AGS,32,0,0,Did not prequalify,,0
1990,1,United States Grand Prix,1990-03-11,Langes,Euro Brun,33,0,0,Did not prequalify,,0
1990,1,United States Grand Prix,1990-03-11,Brabham,Life,34,0,0,Did not prequalify,,0
1990,1,United States Grand Prix,1990-03-11,Gachot,Coloni,35,0,0,Did not prequalify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Prost,Ferrari,1,6,71,Finished,1:37:21.258,9
1990,2,Brazilian Grand Prix,1990-03-25,Berger,McLaren,2,2,71,Finished,+13.564,6
1990,2,Brazilian Grand Prix,1990-03-25,Senna,McLaren,3,1,71,Finished,+37.722,4
1990,2,Brazilian Grand Prix,1990-03-25,Mansell,Ferrari,4,5,71,Finished,+47.266,3
1990,2,Brazilian Grand Prix,1990-03-25,Boutsen,Williams,5,3,70,+1 Lap,,2
1990,2,Brazilian Grand Prix,1990-03-25,Piquet,Benetton,6,13,70,+1 Lap,,1
1990,2,Brazilian Grand Prix,1990-03-25,Alesi,Tyrrell,7,7,70,+1 Lap,,0
1990,2,Brazilian Grand Prix,1990-03-25,Nakajima,Tyrrell,8,19,70,+1 Lap,,0
1990,2,Brazilian Grand Prix,1990-03-25,Martini,Minardi,9,8,69,+2 Laps,,0
1990,2,Brazilian Grand Prix,1990-03-25,Nannini,Benetton,10,15,68,Puncture,,0
1990,2,Brazilian Grand Prix,1990-03-25,Larini,Ligier,11,20,68,+3 Laps,,0
1990,2,Brazilian Grand Prix,1990-03-25,Alliot,Ligier,12,10,68,+3 Laps,,0
1990,2,Brazilian Grand Prix,1990-03-25,Patrese,Williams,13,4,65,Oil pressure,,0
1990,2,Brazilian Grand Prix,1990-03-25,Morbidelli,Dallara,14,16,64,+7 Laps,,0
1990,2,Brazilian Grand Prix,1990-03-25,Caffi,Arrows,15,25,49,Clutch,,0
1990,2,Brazilian Grand Prix,1990-03-25,Donnelly,Team Lotus,16,14,43,Spun off,,0
1990,2,Brazilian Grand Prix,1990-03-25,Modena,Brabham,17,12,39,Spun off,,0
1990,2,Brazilian Grand Prix,1990-03-25,Barilla,Minardi,18,17,38,Engine,,0
1990,2,Brazilian Grand Prix,1990-03-25,Dalmas,AGS,19,26,28,Suspension,,0
1990,2,Brazilian Grand Prix,1990-03-25,Warwick,Team Lotus,20,24,25,Electrical,,0
1990,2,Brazilian Grand Prix,1990-03-25,Suzuki,Larrousse,21,18,24,Suspension,,0
1990,2,Brazilian Grand Prix,1990-03-25,Alboreto,Arrows,22,23,24,Suspension,,0
1990,2,Brazilian Grand Prix,1990-03-25,Foitek,Brabham,23,22,14,Transmission,,0
1990,2,Brazilian Grand Prix,1990-03-25,Bernard,Larrousse,24,11,13,Gearbox,,0
1990,2,Brazilian Grand Prix,1990-03-25,Grouillard,Osella,25,21,8,Collision,,0
1990,2,Brazilian Grand Prix,1990-03-25,de Cesaris,Dallara,26,9,0,Collision,,0
1990,2,Brazilian Grand Prix,1990-03-25,Johansson,Onyx,27,0,0,Did not qualify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Järvilehto,Onyx,28,0,0,Did not qualify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Capelli,Leyton House,29,0,0,Did not qualify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Gugelmin,Leyton House,30,0,0,Did not qualify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Tarquini,AGS,31,0,0,Did not prequalify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Moreno,Euro Brun,32,0,0,Did not prequalify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Gachot,Coloni,33,0,0,Did not prequalify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Langes,Euro Brun,34,0,0,Did not prequalify,,0
1990,2,Brazilian Grand Prix,1990-03-25,Brabham,Life,35,0,0,Did not prequalify,,0
1990,3,San Marino Grand Prix,1990-05-13,Patrese,Williams,1,3,61,Finished,1:30:55.478,9
1990,3,San Marino Grand Prix,1990-05-13,Berger,McLaren,2,2,61,Finished,+5.117,6
1990,3,San Marino Grand Prix,1990-05-13,Nannini,Benetton,3,9,61,Finished,+6.240,4
1990,3,San Marino Grand Prix,1990-05-13,Prost,Ferrari,4,6,61,Finished,+6.843,3
1990,3,San Marino Grand Prix,1990-05-13,Piquet,Benetton,5,8,61,Finished,+53.112,2
1990,3,San Marino Grand Prix,1990-05-13,Alesi,Tyrrell,6,7,60,+1 Lap,,1
1990,3,San Marino Grand Prix,1990-05-13,Warwick,Team Lotus,7,10,60,+1 Lap,,0
1990,3,San Marino Grand Prix,1990-05-13,Donnelly,Team Lotus,8,11,60,+1 Lap,,0
1990,3,San Marino Grand Prix,1990-05-13,Alliot,Ligier,9,16,60,+1 Lap,,0
1990,3,San Marino Grand Prix,1990-05-13,Larini,Ligier,10,20,59,+2 Laps,,0
1990,3,San Marino Grand Prix,1990-05-13,Barilla,Minardi,11,26,59,+2 Laps,,0
1990,3,San Marino Grand Prix,1990-05-13,Järvilehto,Onyx,12,25,59,+2 Laps,,0
1990,3,San Marino Grand Prix,1990-05-13,Bernard,Larrousse,13,13,56,Clutch,,0
1990,3,San Marino Grand Prix,1990-05-13,Grouillard,Osella,14,22,52,Wheel,,0
1990,3,San Marino Grand Prix,1990-05-13,Mansell,Ferrari,15,5,38,Engine,,0
1990,3,San Marino Grand Prix,1990-05-13,Foitek,Onyx,16,23,35,Engine,,0
1990,3,San Marino Grand Prix,1990-05-13,Modena,Brabham,17,14,31,Brakes,,0
1990,3,San Marino Grand Prix,1990-05-13,de Cesaris,Dallara,18,17,29,Wheel,,0
1990,3,San Marino Grand Prix,1990-05-13,Gugelmin,Leyton House,19,12,24,Electrical,,0
1990,3,San Marino Grand Prix,1990-05-13,Boutsen,Williams,20,4,17,Engine,,0
1990,3,San Marino Grand Prix,1990-05-13,Suzuki,Larrousse,21,15,17,Clutch,,0
1990,3,San Marino Grand Prix,1990-05-13,Senna,McLaren,22,1,3,Wheel,,0
1990,3,San Marino Grand Prix,1990-05-13,Pirro,Dallara,23,21,2,Spun off,,0
1990,3,San Marino Grand Prix,1990-05-13,Capelli,Leyton House,24,18,0,Collision,,0
1990,3,San Marino Grand Prix,1990-05-13,Nakajima,Tyrrell,25,19,0,Collision,,0
1990,3,San Marino Grand Prix,1990-05-13,Moreno,Euro Brun,26,24,0,Throttle,,0
1990,3,San Marino Grand Prix,1990-05-13,Martini,Minardi,27,0,0,Accident,,0
1990,3,San Marino Grand Prix,1990-05-13,Caffi,Arrows,28,0,0,Did not qualify,,0
1990,3,San Marino Grand Prix,1990-05-13,Alboreto,Arrows,29,0,0,Did not qualify,,0
1990,3,San Marino Grand Prix,1990-05-13,Brabham,Brabham,30,0,0,Did not qualify,,0
1990,3,San Marino Grand Prix,1990-05-13,Gachot,Coloni,31,0,0,Did not prequalify,,0
1990,3,San Marino Grand Prix,1990-05-13,Langes,Euro Brun,32,0,0,Did not prequalify,,0
1990,3,San Marino Grand Prix,1990-05-13,Giacomelli,Life,33,0,0,Did not prequalify,,0
1990,3,San Marino Grand Prix,1990-05-13,Tarquini,AGS,34,0,0,Did not prequalify,,0
1990,3,San Marino Grand Prix,1990-05-13,Dalmas,AGS,35,0,0,Did not prequalify,,0
1990,4,Monaco Grand Prix,1990-05-27,Senna,McLaren,1,1,78,Finished,1:52:46.982,9
1990,4,Monaco Grand Prix,1990-05-27,Alesi,Tyrrell,2,3,78,Finished,+1.087,6
1990,4,Monaco Grand Prix,1990-05-27,Berger,McLaren,3,5,78,Finished,+2.073,4
1990,4,Monaco Grand Prix,1990-05-27,Boutsen,Williams,4,6,77,+1 Lap,,3
1990,4,Monaco Grand Prix,1990-05-27,Caffi,Arrows,5,22,76,+2 Laps,,2
1990,4,Monaco Grand Prix,1990-05-27,Bernard,Larrousse,6,24,76,+2 Laps,,1
1990,4,Monaco Grand Prix,1990-05-27,Foitek,Onyx,7,20,72,Collision,,0
1990,4,Monaco Grand Prix,1990-05-27,Warwick,Team Lotus,8,13,66,Spun off,,0
1990,4,Monaco Grand Prix,1990-05-27,Mansell,Ferrari,9,7,63,Battery,,0
1990,4,Monaco Grand Prix,1990-05-27,Barilla,Minardi,10,19,52,Gearbox,,0
1990,4,Monaco Grand Prix,1990-05-27,Järvilehto,Onyx,11,26,52,Gearbox,,0
1990,4,Monaco Grand Prix,1990-05-27,Alliot,Ligier,12,18,47,Gearbox,,0
1990,4,Monaco Grand Prix,1990-05-27,Patrese,Williams,13,4,41,Distributor,,0
1990,4,Monaco Grand Prix,1990-05-27,de Cesaris,Dallara,14,12,38,Engine,,0
1990,4,Monaco Grand Prix,1990-05-27,Nakajima,Tyrrell,15,21,36,Spun off,,0
1990,4,Monaco Grand Prix,1990-05-27,Prost,Ferrari,16,2,30,Battery,,0
1990,4,Monaco Grand Prix,1990-05-27,Nannini,Benetton,17,16,20,Gearbox,,0
1990,4,Monaco Grand Prix,1990-05-27,Brabham,Brabham,18,25,16,Transmission,,0
1990,4,Monaco Grand Prix,1990-05-27,Capelli,Leyton House,19,23,13,Brakes,,0
1990,4,Monaco Grand Prix,1990-05-27,Larini,Ligier,20,17,12,Differential,,0
1990,4,Monaco Grand Prix,1990-05-27,Suzuki,Larrousse,21,15,11,Steering,,0
1990,4,Monaco Grand Prix,1990-05-27,Martini,Minardi,22,8,7,Electrical,,0
1990,4,Monaco Grand Prix,1990-05-27,Donnelly,Team Lotus,23,11,6,Gearbox,,0
1990,4,Monaco Grand Prix,1990-05-27,Modena,Brabham,24,14,3,Transmission,,0
1990,4,Monaco Grand Prix,1990-05-27,Pirro,Dallara,25,9,0,Engine,,0
1990,4,Monaco Grand Prix,1990-05-27,Piquet,Benetton,26,10,34,Disqualified,,0
1990,4,Monaco Grand Prix,1990-05-27,Alboreto,Arrows,27,0,0,Did not qualify,,0
1990,4,Monaco Grand Prix,1990-05-27,Grouillard,Osella,28,0,0,Did not qualify,,0
1990,4,Monaco Grand Prix,1990-05-27,Gugelmin,Leyton House,29,0,0,Did not qualify,,0
1990,4,Monaco Grand Prix,1990-05-27,Moreno,Euro Brun,30,0,0,Did not qualify,,0
1990,4,Monaco Grand Prix,1990-05-27,Tarquini,AGS,31,0,0,Did not prequalify,,0
1990,4,Monaco Grand Prix,1990-05-27,Dalmas,AGS,32,0,0,Did not prequalify,,0
1990,4,Monaco Grand Prix,1990-05-27,Langes,Euro Brun,33,0,0,Did not prequalify,,0
1990,4,Monaco Grand Prix,1990-05-27,Gachot,Coloni,34,0,0,Did not prequalify,,0
1990,4,Monaco Grand Prix,1990-05-27,Giacomelli,Life,35,0,0,Did not prequalify,,0
1990,5,Canadian Grand Prix,1990-06-10,Senna,McLaren,1,1,70,Finished,1:42:56.400,9
1990,5,Canadian Grand Prix,1990-06-10,Piquet,Benetton,2,5,70,Finished,+10.497,6
1990,5,Canadian Grand Prix,1990-06-10,Mansell,Ferrari,3,7,70,Finished,+13.385,4
1990,5,Canadian Grand Prix,1990-06-10,Berger,McLaren,4,2,70,Finished,+14.854,3
1990,5,Canadian Grand Prix,1990-06-10,Prost,Ferrari,5,3,70,Finished,+15.820,2
1990,5,Canadian Grand Prix,1990-06-10,Warwick,Team Lotus,6,11,68,+2 Laps,,1
1990,5,Canadian Grand Prix,1990-06-10,Modena,Brabham,7,10,68,+2 Laps,,0
