season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1978,1,Argentine Grand Prix,1978-01-15,Andretti,Team Lotus,1,1,52,Finished,1:37:04.47,9
1978,1,Argentine Grand Prix,1978-01-15,Lauda,Brabham,2,5,52,Finished,+13.21,6
1978,1,Argentine Grand Prix,1978-01-15,Depailler,Tyrrell,3,10,52,Finished,+13.64,4
1978,1,Argentine Grand Prix,1978-01-15,Hunt,McLaren,4,6,52,Finished,+16.05,3
1978,1,Argentine Grand Prix,1978-01-15,Peterson,Team Lotus,5,3,52,Finished,+1:14.85,2
1978,1,Argentine Grand Prix,1978-01-15,Tambay,McLaren,6,9,52,Finished,+1:19.90,1
1978,1,Argentine Grand Prix,1978-01-15,Reutemann,Ferrari,7,2,52,Finished,+1:22.60,0
1978,1,Argentine Grand Prix,1978-01-15,Villeneuve,Ferrari,8,7,52,Finished,+1:38.88,0
1978,1,Argentine Grand Prix,1978-01-15,Fittipaldi,Fittipaldi,9,17,52,Finished,+1:40.60,0
1978,1,Argentine Grand Prix,1978-01-15,Scheckter,Wolf,10,15,52,Finished,+1:43.50,0
1978,1,Argentine Grand Prix,1978-01-15,Mass,ATS,11,13,52,Finished,+1:49.07,0
1978,1,Argentine Grand Prix,1978-01-15,Jarier,ATS,12,11,51,+1 Lap,,0
1978,1,Argentine Grand Prix,1978-01-15,Lunger,McLaren,13,24,51,+1 Lap,,0
1978,1,Argentine Grand Prix,1978-01-15,Pironi,Tyrrell,14,23,51,+1 Lap,,0
1978,1,Argentine Grand Prix,1978-01-15,Regazzoni,Shadow,15,16,51,+1 Lap,,0
1978,1,Argentine Grand Prix,1978-01-15,Laffite,Ligier,16,8,50,Engine,,0
1978,1,Argentine Grand Prix,1978-01-15,Stuck,Shadow,17,18,50,+2 Laps,,0
1978,1,Argentine Grand Prix,1978-01-15,Brambilla,Surtees,18,12,50,+2 Laps,,0
1978,1,Argentine Grand Prix,1978-01-15,Watson,Brabham,19,4,41,Engine,,0
1978,1,Argentine Grand Prix,1978-01-15,Jones,Williams,20,14,36,Fuel system,,0
1978,1,Argentine Grand Prix,1978-01-15,Ongais,Ensign,21,21,35,Distributor,,0
1978,1,Argentine Grand Prix,1978-01-15,Leoni,Ensign,22,22,28,Engine,,0
1978,1,Argentine Grand Prix,1978-01-15,Merzario,Merzario,23,20,9,Differential,,0
1978,1,Argentine Grand Prix,1978-01-15,Keegan,Surtees,24,19,4,Overheating,,0
1978,1,Argentine Grand Prix,1978-01-15,Rebaque,Team Lotus,25,0,0,Did not qualify,,0
1978,1,Argentine Grand Prix,1978-01-15,Cheever,Theodore,26,0,0,Did not qualify,,0
