season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1958,1,Argentine Grand Prix,1958-01-19,Moss,Cooper,1,7,80,Finished,2:19:33.7,8
1958,1,Argentine Grand Prix,1958-01-19,Musso,Ferrari,2,5,80,Finished,+2.7,6
1958,1,Argentine Grand Prix,1958-01-19,Hawthorn,Ferrari,3,2,80,Finished,+12.6,4
1958,1,Argentine Grand Prix,1958-01-19,Fangio,Maserati,4,1,80,Finished,+53.0,4
1958,1,Argentine Grand Prix,1958-01-19,Behra,Maserati,5,4,78,+2 Laps,,2
1958,1,Argentine Grand Prix,1958-01-19,Schell,Maserati,6,8,77,+3 Laps,,0
1958,1,Argentine Grand Prix,1958-01-19,Menditeguy,Maserati,7,6,76,+4 Laps,,0
1958,1,Argentine Grand Prix,1958-01-19,Godia,Maserati,8,9,75,+5 Laps,,0
1958,1,Argentine Grand Prix,1958-01-19,Gould,Maserati,9,10,71,+9 Laps,,0
1958,1,Argentine Grand Prix,1958-01-19,Collins,Ferrari,10,3,0,Halfshaft,,0
1958,2,Monaco Grand Prix,1958-05-18,Trintignant,Cooper,1,5,100,Finished,2:52:27.9,8
1958,2,Monaco Grand Prix,1958-05-18,Musso,Ferrari,2,10,100,Finished,+20.2,6
1958,2,Monaco Grand Prix,1958-05-18,Collins,Ferrari,3,9,100,Finished,+38.8,4
1958,2,Monaco Grand Prix,1958-05-18,Brabham,Cooper,4,3,97,+3 Laps,,3
1958,2,Monaco Grand Prix,1958-05-18,Schell,BRM,5,12,91,+9 Laps,,2
1958,2,Monaco Grand Prix,1958-05-18,Allison,Team Lotus,6,13,87,+13 Laps,,0
1958,2,Monaco Grand Prix,1958-05-18,von Trips,Ferrari,7,11,91,Engine,,0
1958,2,Monaco Grand Prix,1958-05-18,Bonnier,Maserati,8,16,71,Accident,,0
1958,2,Monaco Grand Prix,1958-05-18,Hill,Team Lotus,9,15,69,Halfshaft,,0
1958,2,Monaco Grand Prix,1958-05-18,Salvadori,Cooper,10,4,56,Gearbox,,0
1958,2,Monaco Grand Prix,1958-05-18,Hawthorn,Ferrari,11,6,47,Fuel pump,,1
1958,2,Monaco Grand Prix,1958-05-18,Moss,Vanwall,12,8,38,Engine,,0
1958,2,Monaco Grand Prix,1958-05-18,Behra,BRM,13,2,29,Brakes,,0
1958,2,Monaco Grand Prix,1958-05-18,Scarlatti,Maserati,14,14,28,Engine,,0
1958,2,Monaco Grand Prix,1958-05-18,Brooks,Vanwall,15,1,22,Engine,,0
1958,2,Monaco Grand Prix,1958-05-18,Lewis-Evans,Vanwall,16,7,11,Overheating,,0
1958,2,Monaco Grand Prix,1958-05-18,Flockhart,Cooper,17,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Kavanagh,Maserati,18,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Gerini,Maserati,19,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Kessler,Connaught,20,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Emery,Connaught,21,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,de Filippis,Maserati,22,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Testut,Maserati,23,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Cabianca,OSCA,24,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Piotti,OSCA,25,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Gould,Maserati,26,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Flockhart,BRM,27,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Ecclestone,Connaught,28,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Taramazzo,Maserati,29,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Chiron,Maserati,30,0,0,Did not qualify,,0
1958,2,Monaco Grand Prix,1958-05-18,Godia,Maserati,31,0,0,Did not qualify,,0
1958,3,Dutch Grand Prix,1958-05-26,Moss,Vanwall,1,2,75,Finished,2:04:49.2,9
1958,3,Dutch Grand Prix,1958-05-26,Schell,BRM,2,7,75,Finished,+47.9,6
1958,3,Dutch Grand Prix,1958-05-26,Behra,BRM,3,4,75,Finished,+1:42.3,4
1958,3,Dutch Grand Prix,1958-05-26,Salvadori,Cooper,4,9,74,+1 Lap,,3
1958,3,Dutch Grand Prix,1958-05-26,Hawthorn,Ferrari,5,6,74,+1 Lap,,2
1958,3,Dutch Grand Prix,1958-05-26,Allison,Team Lotus,6,11,73,+2 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,Musso,Ferrari,7,12,73,+2 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,Brabham,Cooper,8,5,73,+2 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,Trintignant,Cooper,9,8,72,+3 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,Bonnier,Maserati,10,15,71,+4 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,de Beaufort,Porsche,11,17,69,+6 Laps,,0
1958,3,Dutch Grand Prix,1958-05-26,Scarlatti,Maserati,12,16,52,Halfshaft,,0
1958,3,Dutch Grand Prix,1958-05-26,Lewis-Evans,Vanwall,13,1,46,Engine,,0
1958,3,Dutch Grand Prix,1958-05-26,Hill,Team Lotus,14,13,40,Overheating,,0
1958,3,Dutch Grand Prix,1958-05-26,Collins,Ferrari,15,10,32,Gearbox,,0
1958,3,Dutch Grand Prix,1958-05-26,Gregory,Maserati,16,14,16,Fuel pump,,0
1958,3,Dutch Grand Prix,1958-05-26,Brooks,Vanwall,17,3,13,Halfshaft,,0
1958,3,Dutch Grand Prix,1958-05-26,Gould,Maserati,18,0,0,Withdrew,,0
1958,4,Indianapolis 500,1958-05-30,Bryan,Epperly,1,7,200,Finished,3:44:13.80,8
1958,4,Indianapolis 500,1958-05-30,Amick,Epperly,2,25,200,Finished,+27.63,6
1958,4,Indianapolis 500,1958-05-30,Boyd,Kurtis Kraft,3,8,200,Finished,+1:09.67,4
1958,4,Indianapolis 500,1958-05-30,Bettenhausen,Epperly,4,9,200,Finished,+1:34.81,4
1958,4,Indianapolis 500,1958-05-30,Rathmann,Epperly,5,20,200,Finished,+1:35.62,2
1958,4,Indianapolis 500,1958-05-30,Reece,Watson,6,3,200,Finished,+2:16.95,0
1958,4,Indianapolis 500,1958-05-30,Freeland,Phillips,7,13,200,Finished,+2:21.06,0
1958,4,Indianapolis 500,1958-05-30,Larson,Watson,8,19,200,Finished,+5:34.02,0
1958,4,Indianapolis 500,1958-05-30,Johnson,Kurtis Kraft,9,26,200,Finished,+6:15.76,0
1958,4,Indianapolis 500,1958-05-30,Cheesbourg,Kurtis Kraft,10,33,200,Finished,+8:03.59,0
1958,4,Indianapolis 500,1958-05-30,Keller,Kurtis Kraft,11,21,200,Finished,+9:14.20,0
1958,4,Indianapolis 500,1958-05-30,Parsons,Kurtis Kraft,12,6,200,Finished,+9:40.85,0
1958,4,Indianapolis 500,1958-05-30,Tolan,Kuzma,13,30,200,Finished,+9:52.24,0
1958,4,Indianapolis 500,1958-05-30,Christie,Kurtis Kraft,14,17,189,Spun off,,0
1958,4,Indianapolis 500,1958-05-30,Wilson,Kuzma,15,32,151,Heat shield fire,,0
1958,4,Indianapolis 500,1958-05-30,Foyt,Kuzma,16,12,148,Spun off,,0
1958,4,Indianapolis 500,1958-05-30,Magill,Kurtis Kraft,17,31,136,Disqualified,,0
1958,4,Indianapolis 500,1958-05-30,Russo,Kurtis Kraft,18,14,122,Throttle,,0
1958,4,Indianapolis 500,1958-05-30,Templeman,Kurtis Kraft,19,23,116,Brakes,,0
1958,4,Indianapolis 500,1958-05-30,Ward,Lesovsky,20,11,93,Magneto,,0
1958,4,Indianapolis 500,1958-05-30,Garrett,Kurtis Kraft,21,15,80,Magneto,,0
1958,4,Indianapolis 500,1958-05-30,Sachs,Kuzma,22,18,68,Transmission,,0
1958,4,Indianapolis 500,1958-05-30,Thomson,Kurtis Kraft,23,22,52,Steering,,0
1958,4,Indianapolis 500,1958-05-30,Weyant,Dunn,24,29,38,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Turner,Lesovsky,25,10,21,Fuel pump,,0
1958,4,Indianapolis 500,1958-05-30,Veith,Kurtis Kraft,26,4,1,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Rathmann,Watson,27,1,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Elisian,Watson,28,2,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,O'Connor,Kurtis Kraft,29,5,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Goldsmith,Kurtis Kraft,30,16,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Unser,Kurtis Kraft,31,24,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Sutton,Kurtis Kraft,32,27,0,Accident,,0
1958,4,Indianapolis 500,1958-05-30,Bisch,Kuzma,33,28,0,Accident,,0
1958,5,Belgian Grand Prix,1958-06-15,Brooks,Vanwall,1,5,24,Finished,1:37:06.3,8
1958,5,Belgian Grand Prix,1958-06-15,Hawthorn,Ferrari,2,1,24,Finished,+20.7,7
1958,5,Belgian Grand Prix,1958-06-15,Lewis-Evans,Vanwall,3,11,24,Finished,+3:00.9,4
1958,5,Belgian Grand Prix,1958-06-15,Allison,Team Lotus,4,12,24,Finished,+4:15.5,3
1958,5,Belgian Grand Prix,1958-06-15,Schell,BRM,5,7,23,+1 Lap,,2
1958,5,Belgian Grand Prix,1958-06-15,Gendebien,Ferrari,6,6,23,+1 Lap,,0
1958,5,Belgian Grand Prix,1958-06-15,Trintignant,Maserati,7,16,23,+1 Lap,,0
1958,5,Belgian Grand Prix,1958-06-15,Salvadori,Cooper,8,13,23,+1 Lap,,0
