season,round,raceName,date,driver,constructor,position,grid,laps,status,time,points
1971,1,South African Grand Prix,1971-03-06,Andretti,Ferrari,1,4,79,Finished,1:47:35.5,9
1971,1,South African Grand Prix,1971-03-06,Stewart,Tyrrell,2,1,79,Finished,+20.9,6
1971,1,South African Grand Prix,1971-03-06,Regazzoni,Ferrari,3,3,79,Finished,+31.4,4
1971,1,South African Grand Prix,1971-03-06,Wisell,Lotus-Ford,4,14,79,Finished,+1:09.4,3
1971,1,South African Grand Prix,1971-03-06,Amon,Matra,5,2,78,+1 Lap,,2
1971,1,South African Grand Prix,1971-03-06,Hulme,McLaren,6,7,78,+1 Lap,,1
1971,1,South African Grand Prix,1971-03-06,Redman,Surtees,7,17,78,+1 Lap,,0
1971,1,South African Grand Prix,1971-03-06,Ickx,Ferrari,8,8,78,+1 Lap,,0
1971,1,South African Grand Prix,1971-03-06,Hill,Brabham,9,19,77,+2 Laps,,0
1971,1,South African Grand Prix,1971-03-06,Peterson,March-Ford,10,13,77,+2 Laps,,0
1971,1,South African Grand Prix,1971-03-06,Pescarolo,March-Ford,11,18,77,+2 Laps,,0
1971,1,South African Grand Prix,1971-03-06,Stommelen,Surtees,12,15,77,+2 Laps,,0
1971,1,South African Grand Prix,1971-03-06,de Adamich,March-Alfa Romeo,13,22,75,+4 Laps,,0
1971,1,South African Grand Prix,1971-03-06,Fittipaldi,Lotus-Ford,14,5,58,Engine,,0
1971,1,South African Grand Prix,1971-03-06,Surtees,Surtees,15,6,56,Gearbox,,0
1971,1,South African Grand Prix,1971-03-06,Cevert,Tyrrell,16,9,45,Accident,,0
1971,1,South African Grand Prix,1971-03-06,Ganley,BRM,17,24,42,Physical,,0
1971,1,South African Grand Prix,1971-03-06,Rodríguez,BRM,18,10,33,Overheating,,0
1971,1,South African Grand Prix,1971-03-06,Charlton,Brabham,19,16,31,Engine,,0
1971,1,South African Grand Prix,1971-03-06,Siffert,BRM,20,12,31,Overheating,,0
1971,1,South African Grand Prix,1971-03-06,Love,March-Ford,21,21,30,Differential,,0
1971,1,South African Grand Prix,1971-03-06,Pretorius,Brabham,22,20,22,Engine,,0
1971,1,South African Grand Prix,1971-03-06,Gethin,McLaren,23,11,7,Fuel leak,,0
